Probability	lower	upper	Year	Predictions	ENiClust	Subgroup
0.0255143324124441	0.022185234189318	0.0288434306355702	1	Cumulative	IC1	ER+ High
0.137384149237147	0.121688179154021	0.153080119320272	2	Cumulative	IC1	ER+ High
0.211910915182205	0.190122167323334	0.233699663041075	3	Cumulative	IC1	ER+ High
0.265498970683925	0.240369737121273	0.290628204246578	4	Cumulative	IC1	ER+ High
0.292351974426196	0.265852507268812	0.318851441583581	5	Cumulative	IC1	ER+ High
0.359677242057085	0.330648341245286	0.388706142868884	6	Cumulative	IC1	ER+ High
0.373557516798749	0.344157757156957	0.402957276440542	7	Cumulative	IC1	ER+ High
0.446686356763078	0.416157369622019	0.477215343904138	8	Cumulative	IC1	ER+ High
0.475207151101756	0.444585547410479	0.505828754793034	9	Cumulative	IC1	ER+ High
0.475171347723307	0.444550047207885	0.505792648238729	10	Cumulative	IC1	ER+ High
0.490129957572709	0.459541422098197	0.520718493047221	11	Cumulative	IC1	ER+ High
0.490088610798283	0.459499982778974	0.520677238817591	12	Cumulative	IC1	ER+ High
0.490059196683757	0.459470434997822	0.520647958369692	13	Cumulative	IC1	ER+ High
0.509189902497327	0.4786499524359	0.539729852558753	14	Cumulative	IC1	ER+ High
0.508788587923099	0.478257368130974	0.539319807715224	15	Cumulative	IC1	ER+ High
0.508712383286152	0.478181967485876	0.539242799086429	16	Cumulative	IC1	ER+ High
0.508712383286152	0.478181967485876	0.539242799086429	17	Cumulative	IC1	ER+ High
0.508712383286152	0.478181967485876	0.539242799086429	18	Cumulative	IC1	ER+ High
0.539346003183735	0.509084696384785	0.569607309982685	19	Cumulative	IC1	ER+ High
0.539270496785346	0.509008377622938	0.569532615947754	20	Cumulative	IC1	ER+ High
0.063875887823019	0.0485901801597488	0.0791615954862892	1	Cumulative	IC2	ER+ High
0.125078807484691	0.0997078987527196	0.150449716216662	2	Cumulative	IC2	ER+ High
0.239112188315277	0.202429142186268	0.275795234444286	3	Cumulative	IC2	ER+ High
0.346718994398851	0.304869412568899	0.388568576228803	4	Cumulative	IC2	ER+ High
0.401966459619738	0.359038669266904	0.444894249972573	5	Cumulative	IC2	ER+ High
0.458056102752826	0.415164589262435	0.500947616243218	6	Cumulative	IC2	ER+ High
0.496316653499552	0.454080834913965	0.538552472085139	7	Cumulative	IC2	ER+ High
0.515027702217871	0.47329793382911	0.556757470606632	8	Cumulative	IC2	ER+ High
0.550844084859061	0.510451975614651	0.59123619410347	9	Cumulative	IC2	ER+ High
0.570498218686008	0.531062699440623	0.609933737931393	10	Cumulative	IC2	ER+ High
0.614509781971654	0.577728177396875	0.651291386546434	11	Cumulative	IC2	ER+ High
0.640253164784263	0.605348995718499	0.675157333850028	12	Cumulative	IC2	ER+ High
0.640050542689065	0.605135632113114	0.674965453265015	13	Cumulative	IC2	ER+ High
0.664814147143049	0.631890705604322	0.697737588681777	14	Cumulative	IC2	ER+ High
0.664722441047502	0.631792904614893	0.697651977480111	15	Cumulative	IC2	ER+ High
0.664662928475914	0.63172973295876	0.697596123993067	16	Cumulative	IC2	ER+ High
0.664472864949171	0.631526367201448	0.697419362696894	17	Cumulative	IC2	ER+ High
0.66426808356952	0.631305376772803	0.697230790366238	18	Cumulative	IC2	ER+ High
0.664057587971912	0.631076729862127	0.697038446081698	19	Cumulative	IC2	ER+ High
0.663999506238524	0.63101272073902	0.696986291738029	20	Cumulative	IC2	ER+ High
0.0312271652910968	0.0290576638898752	0.0333966666923184	1	Cumulative	IC4ER+	ER+ Typical
0.0718524114990954	0.0671088760240451	0.0765959469741457	2	Cumulative	IC4ER+	ER+ Typical
0.107976182713472	0.101184585179046	0.114767780247898	3	Cumulative	IC4ER+	ER+ Typical
0.135594912577791	0.127393580694851	0.143796244460731	4	Cumulative	IC4ER+	ER+ Typical
0.168077354751431	0.158381321700305	0.177773387802556	5	Cumulative	IC4ER+	ER+ Typical
0.182320805581016	0.172024524319724	0.192617086842308	6	Cumulative	IC4ER+	ER+ Typical
0.202198781819706	0.191119452971705	0.213278110667706	7	Cumulative	IC4ER+	ER+ Typical
0.223066542506306	0.211232052284757	0.234901032727856	8	Cumulative	IC4ER+	ER+ Typical
0.251133854001821	0.238390455416642	0.263877252586999	9	Cumulative	IC4ER+	ER+ Typical
0.276304111706554	0.262833762474742	0.289774460938366	10	Cumulative	IC4ER+	ER+ Typical
0.296562630824864	0.282574766636781	0.310550495012947	11	Cumulative	IC4ER+	ER+ Typical
0.304112530916441	0.289935306545897	0.318289755286985	12	Cumulative	IC4ER+	ER+ Typical
0.304074716245825	0.289898280739485	0.318251151752166	13	Cumulative	IC4ER+	ER+ Typical
0.312863884539107	0.298475147052801	0.327252622025414	14	Cumulative	IC4ER+	ER+ Typical
0.340554723911603	0.325544381831651	0.355565065991555	15	Cumulative	IC4ER+	ER+ Typical
0.352614008856883	0.337345888531467	0.367882129182299	16	Cumulative	IC4ER+	ER+ Typical
0.352585436608038	0.337318089990184	0.367852783225892	17	Cumulative	IC4ER+	ER+ Typical
0.386595168195088	0.370524018565211	0.402666317824964	18	Cumulative	IC4ER+	ER+ Typical
0.386750126941339	0.370673924577789	0.402826329304889	19	Cumulative	IC4ER+	ER+ Typical
0.386507583604824	0.370439540690141	0.402575626519507	20	Cumulative	IC4ER+	ER+ Typical
0.128070898639461	0.110634290529627	0.145507506749296	1	Cumulative	IC4ER-	TNBC
0.285052654300772	0.254316877447453	0.315788431154091	2	Cumulative	IC4ER-	TNBC
0.334232316603746	0.301050897952526	0.367413735254966	3	Cumulative	IC4ER-	TNBC
