Sample	Arc1	Arc2	Arc3	ENiClust	Subgroup
CURTIS_H004691_T01_01_WG01	0.167601501434475	0.522081031652742	0.310317466912783	ic3/ic7	ER+ Typical
CURTIS_H004692_T01_01_WG01	0	0.76341705302565	0.23658294697435	ic3/ic7	ER+ Typical
CURTIS_H004693_T01_01_WG01	0.140426036200568	0.0115809852682183	0.847992978531214	ic1	ER+ High
CURTIS_H004694_T01_01_WG01	0.0543850108512043	0.614610803539646	0.331004185609149	ic2	ER+ High
CURTIS_H004695_T01_01_WG01	0.0659584106040987	0.459536203713199	0.474505385682702	ic6	ER+ High
CURTIS_H004696_T01_01_WG01	0.00807116097364529	0.371142611464658	0.620786227561697	ic4	ER+ Typical
CURTIS_H004697_T01_01_WG01	0.413281406639479	0.0355763638550999	0.551142229505421	ic3/ic7	ER+ Typical
CURTIS_H004698_T01_01_WG01	0.207249600226364	0	0.792750399773636	ic1	ER+ High
CURTIS_H004699_T01_01_WG01	0.70055872507555	0	0.29944127492445	ic10	IC10
CURTIS_H004700_T01_01_WG01	0.356291255718115	0.164380055618771	0.479328688663114	ic3/ic7	ER+ Typical
CURTIS_H004701_T01_01_WG01	0	0.449347788021254	0.550652211978746	ic8	ER+ Typical
CURTIS_H004702_T01_01_WG01	0.259696989327079	0.241026996572954	0.499276014099967	ic5	HER2+
CURTIS_H004703_T01_01_WG01	0.332989591178402	0.152498620601711	0.514511788219887	ic8	ER+ Typical
CURTIS_H004704_T01_01_WG01	0.168436176893837	0.678059454502857	0.153504368603307	ic1	ER+ High
CURTIS_H004705_T01_01_WG01	0.512824405402741	0.268633695903047	0.218541898694212	ic3/ic7	ER+ Typical
CURTIS_H004706_T01_01_WG01	1	0	0	ic3/ic7	ER+ Typical
CURTIS_H004707_T01_01_WG01	0.365802150104823	0.501543440070903	0.132654409824274	ic3/ic7	ER+ Typical
CURTIS_H004709_T01_01_WG01	0.430890603559957	0.0748192855588224	0.49429011088122	ic3/ic7	ER+ Typical
CURTIS_H004710_T01_01_WG01	0.370966760011287	0.063079766224887	0.565953473763826	ic6	ER+ High
CURTIS_H004711_T01_01_WG01	0.273852991146015	0.552857079958307	0.173289928895678	ic4	IC4ER-
CURTIS_H004712_T01_01_WG01	0.387201620999157	0.0132172348773112	0.599581144123532	ic3/ic7	ER+ Typical
CURTIS_H004713_T01_01_WG01	0.681990952020547	0.0631580412556654	0.254851006723787	ic10	IC10
CURTIS_H004714_T01_01_WG01	0.280592844762199	0.191220011577815	0.528187143659986	ic5	HER2+
CURTIS_H004715_T01_01_WG01	0.589064462271809	0	0.410935537728191	ic3/ic7	ER+ Typical
CURTIS_H004716_T01_01_WG01	0.0397147198114404	0.622969574176409	0.33731570601215	ic3/ic7	ER+ Typical
CURTIS_H004717_T01_01_WG01	0.11503212797773	0.0085357896697536	0.876432082352517	ic3/ic7	ER+ Typical
CURTIS_H004718_T01_01_WG01	0.332545411199809	0.315628585801237	0.351826002998954	ic4	ER+ Typical
CURTIS_H004719_T01_01_WG01	0.198082816905257	0.0529724061159702	0.748944776978773	ic5	HER2+
CURTIS_H004720_T01_01_WG01	0.668770697419668	0.069602035207644	0.261627267372688	ic10	IC10
CURTIS_H004721_T01_01_WG01	0.636137150957339	0	0.363862849042661	ic3/ic7	ER+ Typical
CURTIS_H004722_T01_01_WG01	0.152200746582179	0.597262741573128	0.250536511844693	ic6	ER+ High
CURTIS_H004723_T01_01_WG01	0.487366401909027	0.458731104266085	0.0539024938248877	ic9	ER+ High
CURTIS_H004724_T01_01_WG01	0.161169671977724	0	0.838830328022276	ic5	HER2+
CURTIS_H004725_T01_01_WG01	0.409470592569741	0	0.590529407430259	ic1	ER+ High
CURTIS_H004726_T01_01_WG01	0.490798501488966	0.434173309650467	0.0750281888605676	ic8	ER+ Typical
CURTIS_H004727_T01_01_WG01	0.228002931860306	0.432395968728065	0.339601099411629	ic10	IC10
CURTIS_H004728_T01_01_WG01	0.230418053618926	0.180196107182344	0.58938583919873	ic3/ic7	ER+ Typical
CURTIS_H004729_T01_01_WG01	0.291333305314184	0.659881525080986	0.0487851696048305	ic3/ic7	ER+ Typical
CURTIS_H004730_T01_01_WG01	0.553977706685765	0.0919402297282897	0.354082063585945	ic10	IC10
CURTIS_H004731_T01_01_WG01	0.368160904315779	0.405468078064961	0.22637101761926	ic3/ic7	ER+ Typical
CURTIS_H004732_T01_01_WG01	0.38115602160961	0.439384714892206	0.179459263498183	ic3/ic7	ER+ Typical
CURTIS_H004733_T01_01_WG01	0.335743219613039	0	0.664256780386961	ic3/ic7	ER+ Typical
CURTIS_H004734_T01_01_WG01	0.186735354631009	0.532201687457629	0.281062957911362	ic8	ER+ Typical
CURTIS_H004735_T01_01_WG01	0.138120737167467	0.431548960922427	0.430330301910106	ic8	ER+ Typical
CURTIS_H004736_T01_01_WG01	0.634598272204756	0.0245056872804485	0.340896040514796	ic10	IC10
CURTIS_H004737_T01_01_WG01	0.23834167719242	0.55823831402154	0.203420008786039	ic6	ER+ High
CURTIS_H004738_T01_01_WG01	0.488217633457102	0.511782366542898	0	ic10	IC10
CURTIS_H004739_T01_01_WG01	0.313798748568304	0.0543373209951389	0.631863930436557	ic9	ER+ High
CURTIS_H004740_T01_01_WG01	0.12213086447804	0.52107163319894	0.35679750232302	ic1	ER+ High
CURTIS_H004741_T01_01_WG01	0.459253085688113	0.0715424790827344	0.469204435229153	ic6	ER+ High
CURTIS_H004742_T01_01_WG01	0.360551476266946	0.054394312800499	0.585054210932555	ic10	IC10
CURTIS_H004743_T01_01_WG01	0.726749540632732	0	0.273250459367268	ic10	IC10
CURTIS_H004744_T01_01_WG01	0.425447697159575	0.0288841426478212	0.545668160192604	ic3/ic7	ER+ Typical
CURTIS_H004745_T01_01_WG01	0.447961565866204	0.00841879473854688	0.543619639395249	ic3/ic7	ER+ Typical
CURTIS_H004746_T01_01_WG01	0.191467354088239	0.0178992416164738	0.790633404295287	ic3/ic7	ER+ Typical
CURTIS_H004747_T01_01_WG01	0.0841867496266725	0.419537850407846	0.496275399965481	ic1	ER+ High
CURTIS_H004748_T01_01_WG01	0.318914742679804	0.664025873143271	0.0170593841769255	ic6	ER+ High
CURTIS_H004749_T01_01_WG01	0.245072519604883	0.634174835114895	0.120752645280222	ic3/ic7	ER+ Typical
CURTIS_H004750_T01_01_WG01	0.380746279867712	0.0463619470390368	0.572891773093251	ic10	IC10
CURTIS_H004751_T01_01_WG01	0.122067264289608	0.759429862768734	0.118502872941658	ic2	ER+ High
CURTIS_H004752_T01_01_WG01	0.35686415806959	0.205054506657809	0.4380813352726	ic2	ER+ High
CURTIS_H004753_T01_01_WG01	0.248724687376062	0.370361782801	0.380913529822937	ic3/ic7	ER+ Typical
CURTIS_H004754_T01_01_WG01	0.362284096950226	0.49500921462528	0.142706688424493	ic3/ic7	ER+ Typical
CURTIS_H004755_T01_01_WG01	0.483476729084436	0.0082659318052119	0.508257339110352	ic10	IC10
CURTIS_H004756_T01_01_WG01	0.38282787924459	0.510059824981712	0.107112295773698	ic8	ER+ Typical
CURTIS_H004757_T01_01_WG01	0.648546050615704	0	0.351453949384296	ic10	IC10
CURTIS_H004758_T01_01_WG01	0.676785851202901	0	0.323214148797099	ic10	IC10
CURTIS_H004759_T01_01_WG01	0.396396552486858	0.0868245660689405	0.516778881444201	ic9	ER+ High
CURTIS_H004760_T01_01_WG01	0.200172933009408	0.502113980372451	0.297713086618141	ic9	ER+ High
CURTIS_H004761_T01_01_WG01	0.451111506021188	0.0183550444616128	0.530533449517199	ic10	IC10
CURTIS_H004762_T01_01_WG01	0.464654248563685	0	0.535345751436315	ic3/ic7	ER+ Typical
CURTIS_H004763_T01_01_WG01	0.261273956582308	0.00859404403550458	0.730131999382187	ic3/ic7	ER+ Typical
CURTIS_H004764_T01_01_WG01	0.0843952726615561	0.529033922067219	0.386570805271224	ic1	ER+ High
CURTIS_H004765_T01_01_WG01	0.517763778039611	0.414785506281213	0.067450715679176	ic10	IC10
CURTIS_H004766_T01_01_WG01	0.339699303849863	0.0429874389499802	0.617313257200156	ic6	ER+ High
CURTIS_H004767_T01_01_WG01	0.193062756389256	0.39386526910094	0.413071974509804	ic4	IC4ER-
CURTIS_H004768_T01_01_WG01	0.156526274585657	0.540474274592548	0.302999450821795	ic2	ER+ High
CURTIS_H004769_T01_01_WG01	0.0956012086756795	0.525771587694025	0.378627203630296	ic6	ER+ High
CURTIS_H004770_T01_01_WG01	0.131811294516679	0.722895484977148	0.145293220506173	ic3/ic7	ER+ Typical
CURTIS_H004771_T01_01_WG01	0.32471214862837	0.0606875543523921	0.614600297019238	ic3/ic7	ER+ Typical
CURTIS_H004772_T01_01_WG01	0.183274902104983	0	0.816725097895017	ic1	ER+ High
CURTIS_H004773_T01_01_WG01	0.172344319617429	0.154703210697136	0.672952469685435	ic6	ER+ High
CURTIS_H004774_T01_01_WG01	0.298364316703396	0.104617188065019	0.597018495231585	ic3/ic7	ER+ Typical
CURTIS_H004775_T01_01_WG01	0.126895236380194	0.369451849937503	0.503652913682302	ic3/ic7	ER+ Typical
CURTIS_H004776_T01_01_WG01	0.0891045687754903	0.591485979293106	0.319409451931404	ic2	ER+ High
CURTIS_H004777_T01_01_WG01	0.74619237131146	0	0.25380762868854	ic10	IC10
CURTIS_H004778_T01_01_WG01	0.315135488233293	0.299682886335	0.385181625431707	ic8	ER+ Typical
