Sample	ENiClust	Gene	AMP	Segment	linear	complex	ecDNA	Summary
CURTIS_H001737_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H001737_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H001727_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H001727_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H001727_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H001727_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001727_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001727_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001727_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001727_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001727_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001727_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H001727_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H001727_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001727_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001699_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001693_T01_01_WG01	ic1	HSF5	NO	NO	NO	NO	NO	NO
CURTIS_H001693_T01_01_WG01	ic1	PPM1E	NO	NO	NO	YES	NO	NO
CURTIS_H001693_T01_01_WG01	ic1	PRR11	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001693_T01_01_WG01	ic1	DHX40	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001693_T01_01_WG01	ic1	TUBD1	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001693_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001693_T01_01_WG01	ic1	CA4	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001693_T01_01_WG01	ic1	C17orf64	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001693_T01_01_WG01	ic1	BCAS3	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001693_T01_01_WG01	ic1	TBX2	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001693_T01_01_WG01	ic1	BRIP1	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001693_T01_01_WG01	ic1	MSI2	NO	NO	NO	NO	NO	NO
CURTIS_H001693_T01_01_WG01	ic1	PPM1D	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H001682_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H001682_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H001670_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H001664_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H001631_T01_01_WG01	ic1	MSI2	NO	NO	NO	NO	NO	NO
CURTIS_H001631_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	TBX2	NA	NO	NO	NO	NO	NA
CURTIS_H001630_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H001630_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H001591_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001591_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H001591_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	TUBD1	NA	NO	NO	NO	YES	NA
CURTIS_H001511_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	CA4	NA	NO	NO	NO	YES	NA
CURTIS_H001511_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	TBX2	NA	NO	NO	NO	YES	NA
CURTIS_H001511_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001511_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	CA4	NA	NO	NO	NO	YES	NA
CURTIS_H001510_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001510_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001487_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H001487_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H001486_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H001478_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001478_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001459_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H000593_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H000593_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H000593_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H000593_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H000593_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
