Sample	ENiClust	Gene	AMP	Segment	linear	complex	ecDNA	Summary
CURTIS_H001627_T01_01_WG01	ic5	CDK12	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	ERBB2	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	FBXL20	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	MED1	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	NEUROD2	NA	NO	NO	NO	NO	NA
CURTIS_H001627_T01_01_WG01	ic5	PGAP3	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	PLXDC1	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	PNMT	NA	NO	NO	NO	NO	NA
CURTIS_H001627_T01_01_WG01	ic5	PPP1R1B	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	RPL19	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	STAC2	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	STARD3	YES	NO	NO	NO	NO	AMP
CURTIS_H001627_T01_01_WG01	ic5	TCAP	NA	NO	NO	NO	NO	NA
CURTIS_H001616_T01_01_WG01	ic5	ARL5C	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	CACNB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	CDK12	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	ERBB2	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	FBXL20	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	MED1	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	NEUROD2	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	PGAP3	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	PLXDC1	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	PNMT	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	PPP1R1B	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	RPL19	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	STAC2	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	STARD3	YES	NO	NO	NO	NO	AMP
CURTIS_H001616_T01_01_WG01	ic5	TCAP	YES	NO	NO	NO	NO	AMP
CURTIS_H001596_T01_01_WG01	ic5	ARL5C	NO	NO	NO	NO	NO	NO
CURTIS_H001596_T01_01_WG01	ic5	CACNB1	NO	NO	NO	NO	NO	NO
CURTIS_H001596_T01_01_WG01	ic5	CDK12	NO	NO	NO	NO	YES	NO
CURTIS_H001596_T01_01_WG01	ic5	ERBB2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001596_T01_01_WG01	ic5	FBXL20	NO	NO	NO	NO	NO	NO
CURTIS_H001596_T01_01_WG01	ic5	MED1	NO	NO	NO	NO	YES	NO
CURTIS_H001596_T01_01_WG01	ic5	NEUROD2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001596_T01_01_WG01	ic5	PGAP3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001596_T01_01_WG01	ic5	PLXDC1	NO	NO	NO	NO	NO	NO
CURTIS_H001596_T01_01_WG01	ic5	PNMT	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001596_T01_01_WG01	ic5	PPP1R1B	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001596_T01_01_WG01	ic5	RPL19	NO	NO	NO	NO	NO	NO
CURTIS_H001596_T01_01_WG01	ic5	STAC2	NO	NO	NO	NO	NO	NO
CURTIS_H001596_T01_01_WG01	ic5	STARD3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001596_T01_01_WG01	ic5	TCAP	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H001595_T01_01_WG01	ic5	ARL5C	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	CACNB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	CDK12	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	ERBB2	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	FBXL20	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	MED1	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	NEUROD2	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	PGAP3	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	PLXDC1	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	PNMT	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	PPP1R1B	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	RPL19	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	STAC2	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	STARD3	YES	NO	NO	NO	NO	AMP
CURTIS_H001595_T01_01_WG01	ic5	TCAP	YES	NO	NO	NO	NO	AMP
CURTIS_H001590_T01_01_WG01	ic5	ARL5C	YES	NO	NO	NO	NO	AMP
CURTIS_H001590_T01_01_WG01	ic5	CACNB1	YES	NO	NO	NO	NO	AMP
CURTIS_H001590_T01_01_WG01	ic5	CDK12	YES	NO	NO	NO	NO	AMP
CURTIS_H001590_T01_01_WG01	ic5	ERBB2	YES	NO	NO	NO	NO	AMP
CURTIS_H001590_T01_01_WG01	ic5	FBXL20	YES	NO	NO	NO	NO	AMP
CURTIS_H001590_T01_01_WG01	ic5	MED1	YES	NO	NO	NO	NO	AMP
CURTIS_H001590_T01_01_WG01	ic5	NEUROD2	YES	NO	NO	NO	NO	AMP
CURTIS_H001590_T01_01_WG01	ic5	PGAP3	YES	NO	NO	NO	NO	AMP
CURTIS_H001590_T01_01_WG01	ic5	PLXDC1	YES	NO	NO	NO	NO	AMP
