Sample	ENiClust	Gene	AMP	Segment	linear	complex	ecDNA	Summary
CURTIS_H004725_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004725_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004704_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004698_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004698_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004693_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004693_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004693_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004693_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004685_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004666_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004666_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004637_T01_01_WG01	ic1	HSF5	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	PPM1E	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	PRR11	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	DHX40	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	TUBD1	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	CA4	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	C17orf64	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	BCAS3	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	TBX2	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	BRIP1	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	MSI2	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004637_T01_01_WG01	ic1	PPM1D	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	HSF5	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	PPM1E	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	PRR11	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	DHX40	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	TUBD1	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	CA4	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	C17orf64	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	BCAS3	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	TBX2	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	BRIP1	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	MSI2	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004635_T01_01_WG01	ic1	PPM1D	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004632_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004632_T01_01_WG01	ic1	MSI2	NO	NO	NO	NO	NO	NO
CURTIS_H004632_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004629_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004629_T01_01_WG01	ic1	PPM1E	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004629_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004629_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004629_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004629_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004629_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004629_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004629_T01_01_WG01	ic1	BCAS3	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004629_T01_01_WG01	ic1	TBX2	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004629_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004629_T01_01_WG01	ic1	MSI2	NO	NO	NO	NO	NO	NO
CURTIS_H004629_T01_01_WG01	ic1	PPM1D	YES	NO	NO	YES	NO	Complex-AMP
CURTIS_H004617_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004617_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	TBX2	NA	NO	NO	NO	NO	NA
CURTIS_H004612_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004612_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	CA4	NA	NO	NO	NO	NO	NA
CURTIS_H004602_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	TBX2	NA	NO	NO	NO	NO	NA
CURTIS_H004602_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004602_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004600_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004600_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004600_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004600_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004600_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004600_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004600_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004600_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004600_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004600_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004600_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004600_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004600_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004599_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004599_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	NO	AMP
CURTIS_H004557_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004557_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	CA4	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	C17orf64	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	BCAS3	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	TBX2	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	BRIP1	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004543_T01_01_WG01	ic1	MSI2	YES	NO	NO	NO	NO	AMP
CURTIS_H004543_T01_01_WG01	ic1	PPM1D	YES	NO	NO	NO	YES	ecDNA-AMP
CURTIS_H004531_T01_01_WG01	ic1	HSF5	YES	NO	NO	NO	NO	AMP
CURTIS_H004531_T01_01_WG01	ic1	PPM1E	YES	NO	NO	NO	NO	AMP
CURTIS_H004531_T01_01_WG01	ic1	PRR11	YES	NO	NO	NO	NO	AMP
CURTIS_H004531_T01_01_WG01	ic1	DHX40	YES	NO	NO	NO	NO	AMP
CURTIS_H004531_T01_01_WG01	ic1	TUBD1	YES	NO	NO	NO	NO	AMP
CURTIS_H004531_T01_01_WG01	ic1	RPS6KB1	YES	NO	NO	NO	NO	AMP
