Sample,group,name,value
CURTIS_H000531_T01_01_WG01,IC10,fraction_cna,0.52
CURTIS_H000531_T01_01_WG01,IC10,fraction_loh,0.12
CURTIS_H000531_T01_01_WG01,IC10,SV_dama,62
CURTIS_H000533_T01_01_WG01,IC10,fraction_cna,0.68
CURTIS_H000533_T01_01_WG01,IC10,fraction_loh,0.23
CURTIS_H000533_T01_01_WG01,IC10,SV_dama,104
CURTIS_H000538_T01_01_WG01,IC10,fraction_cna,0.88
CURTIS_H000538_T01_01_WG01,IC10,fraction_loh,0.13
CURTIS_H000538_T01_01_WG01,IC10,SV_dama,115
CURTIS_H000540_T01_01_WG01,IC10,fraction_cna,0.96
CURTIS_H000540_T01_01_WG01,IC10,fraction_loh,0.013
CURTIS_H000540_T01_01_WG01,IC10,SV_dama,411
CURTIS_H000543_T01_01_WG01,IC10,fraction_cna,0.58
CURTIS_H000543_T01_01_WG01,IC10,fraction_loh,0.15
CURTIS_H000543_T01_01_WG01,IC10,SV_dama,124
CURTIS_H000545_T01_01_WG01,IC10,fraction_cna,0.91
CURTIS_H000545_T01_01_WG01,IC10,fraction_loh,0.11
CURTIS_H000545_T01_01_WG01,IC10,SV_dama,435
CURTIS_H000549_T01_01_WG01,IC10,fraction_cna,0.98
CURTIS_H000549_T01_01_WG01,IC10,fraction_loh,0.052
CURTIS_H000549_T01_01_WG01,IC10,SV_dama,
CURTIS_H000550_T01_01_WG01,IC10,fraction_cna,0.66
CURTIS_H000550_T01_01_WG01,IC10,fraction_loh,0.34
CURTIS_H000550_T01_01_WG01,IC10,SV_dama,223
CURTIS_H000551_T01_01_WG01,IC10,fraction_cna,0.72
CURTIS_H000551_T01_01_WG01,IC10,fraction_loh,0.47
CURTIS_H000551_T01_01_WG01,IC10,SV_dama,243
CURTIS_H000560_T01_01_WG01,IC10,fraction_cna,0.68
CURTIS_H000560_T01_01_WG01,IC10,fraction_loh,0.027
CURTIS_H000560_T01_01_WG01,IC10,SV_dama,132
CURTIS_H000561_T01_01_WG01,IC10,fraction_cna,0.58
CURTIS_H000561_T01_01_WG01,IC10,fraction_loh,0.27
CURTIS_H000561_T01_01_WG01,IC10,SV_dama,41
CURTIS_H000562_T01_01_WG01,IC10,fraction_cna,0.81
CURTIS_H000562_T01_01_WG01,IC10,fraction_loh,0.22
CURTIS_H000562_T01_01_WG01,IC10,SV_dama,116
CURTIS_H000563_T01_01_WG01,IC10,fraction_cna,0.86
CURTIS_H000563_T01_01_WG01,IC10,fraction_loh,0.4
CURTIS_H000563_T01_01_WG01,IC10,SV_dama,38
CURTIS_H000564_T01_01_WG01,IC10,fraction_cna,0.64
CURTIS_H000564_T01_01_WG01,IC10,fraction_loh,0.15
CURTIS_H000564_T01_01_WG01,IC10,SV_dama,83
CURTIS_H000566_T01_01_WG01,IC10,fraction_cna,0.88
CURTIS_H000566_T01_01_WG01,IC10,fraction_loh,0.4
CURTIS_H000566_T01_01_WG01,IC10,SV_dama,14
CURTIS_H000569_T01_01_WG01,IC10,fraction_cna,0.87
CURTIS_H000569_T01_01_WG01,IC10,fraction_loh,0.013
CURTIS_H000569_T01_01_WG01,IC10,SV_dama,87
CURTIS_H000570_T01_01_WG01,IC10,fraction_cna,0.81
CURTIS_H000570_T01_01_WG01,IC10,fraction_loh,0.095
CURTIS_H000570_T01_01_WG01,IC10,SV_dama,65
CURTIS_H000571_T01_01_WG01,IC10,fraction_cna,0.53
CURTIS_H000571_T01_01_WG01,IC10,fraction_loh,0.059
CURTIS_H000571_T01_01_WG01,IC10,SV_dama,128
CURTIS_H000572_T01_01_WG01,IC10,fraction_cna,0.76
CURTIS_H000572_T01_01_WG01,IC10,fraction_loh,0.18
CURTIS_H000572_T01_01_WG01,IC10,SV_dama,140
CURTIS_H000573_T01_01_WG01,IC4ER-,fraction_cna,0.89
CURTIS_H000573_T01_01_WG01,IC4ER-,fraction_loh,0.044
CURTIS_H000573_T01_01_WG01,IC4ER-,SV_dama,233
CURTIS_H000574_T01_01_WG01,IC10,fraction_cna,0.61
CURTIS_H000574_T01_01_WG01,IC10,fraction_loh,0.31
CURTIS_H000574_T01_01_WG01,IC10,SV_dama,146
CURTIS_H000575_T01_01_WG01,IC10,fraction_cna,0.54
CURTIS_H000575_T01_01_WG01,IC10,fraction_loh,0.051
