Sample	ENiClust	key	value	logvalue
CURTIS_H000378_T01_01_WG01	ER+ Typical	RS6	8	0.954242509439325
CURTIS_H000380_T01_01_WG01	IC6	RS6	35	1.55630250076729
CURTIS_H000382_T01_01_WG01	IC9	RS6	0	0
CURTIS_H000385_T01_01_WG01	ER+ Typical	RS6	22	1.36172783601759
CURTIS_H000387_T01_01_WG01	IC1	RS6	93	1.9731278535997
CURTIS_H000389_T01_01_WG01	IC1	RS6	10	1.04139268515822
CURTIS_H000390_T01_01_WG01	ER+ Typical	RS6	32	1.51851393987789
CURTIS_H000391_T01_01_WG01	HER2+	RS6	31	1.50514997831991
CURTIS_H000392_T01_01_WG01	HER2+	RS6	26	1.43136376415899
CURTIS_H000393_T01_01_WG01	HER2+	RS6	74	1.8750612633917
CURTIS_H000394_T01_01_WG01	HER2+	RS6	37	1.57978359661681
CURTIS_H000396_T01_01_WG01	IC9	RS6	76	1.88649072517248
CURTIS_H000398_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000399_T01_01_WG01	IC1	RS6	71	1.85733249643127
CURTIS_H000400_T01_01_WG01	IC1	RS6	228	2.35983548233989
CURTIS_H000402_T01_01_WG01	IC9	RS6	10	1.04139268515822
CURTIS_H000404_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000405_T01_01_WG01	ER+ Typical	RS6	263	2.42160392686983
CURTIS_H000410_T01_01_WG01	ER+ Typical	RS6	10	1.04139268515822
CURTIS_H000412_T01_01_WG01	HER2+	RS6	140	2.14921911265538
CURTIS_H000415_T01_01_WG01	IC1	RS6	64	1.81291335664286
CURTIS_H000416_T01_01_WG01	IC6	RS6	16	1.23044892137827
CURTIS_H000417_T01_01_WG01	ER+ Typical	RS6	1	0.301029995663981
CURTIS_H000418_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000419_T01_01_WG01	IC6	RS6	6	0.845098040014257
CURTIS_H000420_T01_01_WG01	ER+ Typical	RS6	31	1.50514997831991
CURTIS_H000421_T01_01_WG01	ER+ Typical	RS6	86	1.93951925261862
CURTIS_H000422_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000423_T01_01_WG01	ER+ Typical	RS6	3	0.602059991327962
CURTIS_H000424_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000425_T01_01_WG01	ER+ Typical	RS6	19	1.30102999566398
CURTIS_H000427_T01_01_WG01	ER+ Typical	RS6	100	2.00432137378264
CURTIS_H000428_T01_01_WG01	ER+ Typical	RS6	7	0.903089986991944
CURTIS_H000429_T01_01_WG01	IC6	RS6	40	1.61278385671974
CURTIS_H000430_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000431_T01_01_WG01	ER+ Typical	RS6	2	0.477121254719662
CURTIS_H000432_T01_01_WG01	IC2	RS6	55	1.7481880270062
CURTIS_H000433_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000434_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000435_T01_01_WG01	IC9	RS6	0	0
CURTIS_H000436_T01_01_WG01	ER+ Typical	RS6	2	0.477121254719662
CURTIS_H000437_T01_01_WG01	ER+ Typical	RS6	46	1.67209785793572
CURTIS_H000438_T01_01_WG01	IC6	RS6	25	1.41497334797082
CURTIS_H000439_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000440_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000441_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000442_T01_01_WG01	ER+ Typical	RS6	21	1.34242268082221
CURTIS_H000443_T01_01_WG01	ER+ Typical	RS6	0	0
