Sample,group,name,value
CURTIS_H000531_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000531_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000531_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000533_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000533_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000533_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000538_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000538_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000538_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000540_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000540_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000540_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000543_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000543_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000543_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000545_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000545_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000545_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000549_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000549_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000549_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000550_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000550_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000550_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000551_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000551_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000551_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000560_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000560_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000560_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000561_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000561_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000561_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000562_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000562_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000562_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000563_T01_01_WG01,IC10,ddr,FALSE
