"ER_early_sig"	"index"	"stage_code"	"Stage"	"group"
0.285756371512026	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.172744659508207	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.245680840718596	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.428049021309048	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.345272971619789	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.290578343796366	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.117039302043183	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.041882532331867	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.398217486238402	"ER+ Higha"	"a"	"Primary"	"ER+ High"
0.166513241483533	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0672040978280244	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.46522090895808	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.18842636476881	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.289040373898234	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.174201981270855	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.377000060421466	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.292642760903678	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.315059288064499	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.320479378660343	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
-0.197043223633528	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.0251351155815407	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0598267895373049	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.210506130351266	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.376789098917093	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
-0.154803430865518	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.141357483000382	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.182551058092174	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.24853217933954	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.00887445865927067	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.432520961219579	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.260871035100815	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.346620772434008	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.34107169840414	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.424071146153153	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.166136207806076	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.198914340629741	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.200096452289913	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.17687258083021	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.364502492102528	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0715893263470702	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.177572503854938	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0571686418762108	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.167998356854933	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.125806545936903	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
-0.131833129568808	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0649681626740055	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.137493686750073	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.271550361294866	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.331507777987726	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.156142769569864	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.349771801388733	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0689948382074378	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.220928206820142	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.238476593042576	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.285707776784749	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.292030694481148	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.329855848567912	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.110655205006775	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0307895818435784	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.353065169188836	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.132719816681476	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.186004060098108	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.0403633318151777	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.192728863278817	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.302440570710462	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.185413563645703	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.313127887004998	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.218201519331088	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0115777161943598	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.00749595067168041	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.554838456121753	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.229350325910101	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.187706765448179	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.16327411249884	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.310063059241992	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.26892751376102	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.244626741600067	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.357955670110617	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.0285362048953604	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0167688495063673	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.206163145230243	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.285649198762113	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.199092866968642	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.41347350761665	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.02317824248413	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.412884372634689	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0746819914094553	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.307192183518413	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0339832919210452	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.063124306809695	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
