LF2 LF3 LF1
CURTIS_H000378_T01_01_WG01 2.22044604925031e-16 1.00916148017549 0.40846622367347
CURTIS_H000379_T01_01_WG01 0.710332038898867 2.22044604925031e-16 0.860844361955475
CURTIS_H000380_T01_01_WG01 1.21005696897565 0.309729555442008 2.22044604925031e-16
CURTIS_H000381_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000382_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000383_T01_01_WG01 0.394293766786822 0.228623626264569 0.914394150595919
CURTIS_H000384_T01_01_WG01 2.22044604925031e-16 0.45197265908379 1.05276343760618
CURTIS_H000385_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000386_T01_01_WG01 2.22044604925031e-16 0.177865207744818 1.36972361435536
CURTIS_H000387_T01_01_WG01 1.32076669902033 2.22044604925031e-16 0.246783981983125
CURTIS_H000388_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000389_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000390_T01_01_WG01 2.22044604925031e-16 0.236581109282275 1.3018283330035
CURTIS_H000391_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000392_T01_01_WG01 1.56609354484626 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H000393_T01_01_WG01 2.22044604925031e-16 0.489033526690812 1.00990864073795
CURTIS_H000394_T01_01_WG01 0.55193592417419 2.22044604925031e-16 1.02018128160978
CURTIS_H000395_T01_01_WG01 2.22044604925031e-16 0.409778703606554 1.10155380620244
CURTIS_H000396_T01_01_WG01 2.22044604925031e-16 1.06576036009723 0.343018929569764
CURTIS_H000397_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000398_T01_01_WG01 1.56609354484626 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H000399_T01_01_WG01 0.636832796369484 0.243424542962542 0.653299717880088
CURTIS_H000400_T01_01_WG01 1.04669103957993 0.451847697552491 2.22044604925031e-16
CURTIS_H000401_T01_01_WG01 0.450321804599364 2.22044604925031e-16 1.12239894543683
CURTIS_H000402_T01_01_WG01 2.22044604925031e-16 0.331630411624779 1.19191945047148
CURTIS_H000403_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000404_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000405_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000406_T01_01_WG01 2.22044604925031e-16 0.449712658266365 1.05537675678099
CURTIS_H000407_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000408_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000409_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000410_T01_01_WG01 1.2097921690015 0.309959914859652 2.22044604925031e-16
CURTIS_H000411_T01_01_WG01 2.22044604925031e-16 0.64126198764661 0.833881467251383
CURTIS_H000412_T01_01_WG01 0.663318384884356 0.785357932047719 2.22044604925031e-16
CURTIS_H000413_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000414_T01_01_WG01 2.22044604925031e-16 0.314879690579297 1.211288903864
CURTIS_H000415_T01_01_WG01 0.817493928084788 0.65123485118522 2.22044604925031e-16
CURTIS_H000416_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000417_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.57539546825403
CURTIS_H000418_T01_01_WG01 1.00965758614324 2.22044604925031e-16 0.559740949446531
CURTIS_H000419_T01_01_WG01 1.56609354484626 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H000420_T01_01_WG01 0.874113744627933 0.60197915164302 2.22044604925031e-16
CURTIS_H000421_T01_01_WG01 1.56609354484626 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H000422_T01_01_WG01 0.783046772423129 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H000423_T01_01_WG01 0.324626167739382 0.222288572849274 0.99180099243413
CURTIS_H000424_T01_01_WG01 1.56609354484626 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H000425_T01_01_WG01 1.20030719146643 0.318211252150291 2.22044604925031e-16
CURTIS_H000426_T01_01_WG01 0.921344708117849 0.560891167103627 2.22044604925031e-16
