LF1 LF3 LF2
CURTIS_H000508_T01_01_WG01 0.395342486055809 1.4698224350795 2.22044604925031e-16
CURTIS_H000525_T01_01_WG01 0.199944638675675 2.22044604925031e-16 1.09465841797588
CURTIS_H003221_T01_01_WG01 0.393679901691603 1.47255625080046 2.22044604925031e-16
CURTIS_H003222_T01_01_WG01 0.383315345721953 2.22044604925031e-16 0.910381974662793
CURTIS_H003224_T01_01_WG01 0.390138455049694 1.47837951169057 2.22044604925031e-16
CURTIS_H004004_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004005_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004006_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004007_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004008_T02_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004009_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004010_T01_01_WG01 0.618536680398199 2.22044604925031e-16 0.673998794144449
CURTIS_H004011_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004012_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004013_T01_01_WG01 0.807441161288297 2.22044604925031e-16 0.484161243616013
CURTIS_H004014_T01_01_WG01 0.724630541789512 0.928368489722206 2.22044604925031e-16
CURTIS_H004017_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004019_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004020_T01_01_WG01 0.322793569661029 2.22044604925031e-16 0.971202690332955
CURTIS_H004021_T01_01_WG01 0.29946994402227 2.22044604925031e-16 0.994641520051771
CURTIS_H004022_T01_01_WG01 0.915002113916602 0.615337278849975 2.22044604925031e-16
CURTIS_H004023_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004024_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004025_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004026_T01_01_WG01 1.00230494266221 0.471783754080194 2.22044604925031e-16
CURTIS_H004027_T01_01_WG01 0.583540609671077 1.16036506252684 2.22044604925031e-16
CURTIS_H004028_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004029_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004030_T01_01_WG01 0.301795762479323 2.22044604925031e-16 0.992304213510494
CURTIS_H004031_T01_01_WG01 2.22044604925031e-16 0.882507952283009 0.756237849123818
CURTIS_H004032_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004033_T01_01_WG01 0.566273174283467 2.22044604925031e-16 0.726520449195188
CURTIS_H004034_T01_01_WG01 2.22044604925031e-16 0.479574462209326 1.0024943378004
CURTIS_H004035_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004036_T01_01_WG01 0.379072546874815 2.22044604925031e-16 0.914645730274784
CURTIS_H004037_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004038_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004039_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004040_T01_01_WG01 0.372141403450064 1.50797236944457 2.22044604925031e-16
CURTIS_H004041_T01_01_WG01 1.0394376533765 0.410725806887831 2.22044604925031e-16
CURTIS_H004042_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004043_T01_01_WG01 2.22044604925031e-16 2.11989080262269 2.22044604925031e-16
CURTIS_H004044_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004045_T01_01_WG01 0.668427257778301 2.22044604925031e-16 0.623861788607783
CURTIS_H004046_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004048_T01_01_WG01 0.238143776146884 1.72830694492791 2.22044604925031e-16
CURTIS_H004049_T01_01_WG01 0.431504619745494 2.22044604925031e-16 0.861954675854063
CURTIS_H004050_T01_01_WG01 0.781031317947862 0.835627735114183 2.22044604925031e-16
CURTIS_H004051_T01_01_WG01 0.640735706999371 1.06631819212184 2.22044604925031e-16
CURTIS_H004052_T01_01_WG01 2.22044604925031e-16 0.941463463611097 0.720206649023938
CURTIS_H004053_T01_01_WG01 2.22044604925031e-16 0.528366610185809 0.972674570191908
CURTIS_H004054_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004055_T01_01_WG01 0.187908533371924 1.81090960822792 2.22044604925031e-16
CURTIS_H004056_T01_01_WG01 0.207476250578676 1.77873407832713 2.22044604925031e-16
CURTIS_H004057_T01_01_WG01 0.450968198425888 1.0094131770587 0.225482861575904
CURTIS_H004058_T02_01_WG01 0.83014608507219 0.754867488965815 2.22044604925031e-16
CURTIS_H004059_T01_01_WG01 0.525707953243455 2.22044604925031e-16 0.767286036981116
CURTIS_H004060_T01_01_WG01 0.781343110486747 0.835115049344469 2.22044604925031e-16
CURTIS_H004061_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004062_T01_01_WG01 0.398450340434519 1.46471213731544 2.22044604925031e-16
CURTIS_H004063_T01_01_WG01 0.478732583912163 2.22044604925031e-16 0.814493435169883
CURTIS_H004064_T01_01_WG01 0.844846831455915 0.73069480188966 2.22044604925031e-16
CURTIS_H004065_T01_01_WG01 0.0113284975448636 0.399297868651677 1.04017165914328
CURTIS_H004067_T01_01_WG01 2.22044604925031e-16 0.331712476735398 1.0928615429312
