Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
CURTIS_H004014_T01_01_WG01	211	74	231	0	0	6
CURTIS_H001623_T01_01_WG01	0	0	3	0	288	40
CURTIS_H001692_T01_01_WG01	26	67	0	15	1	1
CURTIS_H004098_T01_01_WG01	0	119	0	183	246	45
CURTIS_H004530_T01_01_WG01	64	80	60	0	5	2
CURTIS_H001434_T01_01_WG01	15	4	0	5	0	0
CURTIS_H004131_T01_01_WG01	68	65	18	10	9	10
CURTIS_H000459_T01_01_WG01	0	18	0	2	0	0
CURTIS_H001636_T01_01_WG01	27	43	11	13	0	9
CURTIS_H004735_T01_01_WG01	73	0	0	15	0	15
CURTIS_H000469_T01_01_WG01	0	4	0	0	0	0
CURTIS_H004740_T01_01_WG01	100	23	48	21	0	27
CURTIS_H004294_T01_01_WG01	39	38	7	17	0	44
CURTIS_H001624_T01_01_WG01	0	4	0	0	0	0
CURTIS_H004222_T01_01_WG01	0	26	0	0	1	5
CURTIS_H001704_T01_01_WG01	12	16	17	6	1	1
CURTIS_H004486_T01_01_WG01	163	212	94	48	1	259
CURTIS_H002039_T01_01_WG01	0	30	0	95	145	7
CURTIS_H004151_T01_01_WG01	5	0	0	0	489	25
CURTIS_H004542_T01_01_WG01	6	102	23	152	1	1
CURTIS_H004560_T01_01_WG01	0	3	0	15	0	9
CURTIS_H001459_T01_01_WG01	121	31	156	2	0	10
CURTIS_H001717_T01_01_WG01	99	23	44	9	0	2
CURTIS_H004502_T01_01_WG01	0	23	0	86	472	17
CURTIS_H001562_T01_01_WG01	13	10	2	6	0	1
CURTIS_H000508_T01_01_WG01	0	42	0	10	0	117
CURTIS_H001439_T01_01_WG01	15	6	4	0	0	0
CURTIS_H004355_T01_01_WG01	233	65	31	6	6	3
CURTIS_H004339_T01_01_WG01	64	99	141	0	0	5
CURTIS_H004469_T01_01_WG01	5	1	14	0	0	7
CURTIS_H000489_T01_01_WG01	81	72	42	0	0	5
CURTIS_H004626_T01_01_WG01	62	22	50	13	0	5
CURTIS_H004699_T01_01_WG01	5	32	0	134	25	18
CURTIS_H002092_T01_01_WG01	62	123	22	88	42	164
CURTIS_H004713_T01_01_WG01	2	34	0	46	0	8
CURTIS_H004043_T01_01_WG01	0	20	7	5	0	0
CURTIS_H004411_T01_01_WG01	18	11	14	28	4	7
CURTIS_H004277_T01_01_WG01	22	104	7	79	0	13
CURTIS_H001661_T01_01_WG01	0	0	0	1	0	0
CURTIS_H000379_T01_01_WG01	0	20	0	21	164	14
CURTIS_H004564_T01_01_WG01	5	111	39	148	0	11
CURTIS_H002056_T01_01_WG01	0	22	0	201	28	81
CURTIS_H004361_T01_01_WG01	7	13	0	0	2	0
CURTIS_H001445_T01_01_WG01	7	166	18	48	104	59
CURTIS_H004604_T01_01_WG01	66	48	9	0	1	3
CURTIS_H000579_T01_01_WG01	15	59	1	7	1	27
CURTIS_H004572_T01_01_WG01	48	41	1	17	23	3
CURTIS_H004711_T01_01_WG01	49	32	0	30	9	15
CURTIS_H002094_T01_01_WG01	8	15	11	1	0	5
CURTIS_H001470_T01_01_WG01	0	19	0	0	0	0
CURTIS_H004018_T01_01_WG01	342	38	1	2	0	8
CURTIS_H004196_T01_01_WG01	58	8	24	5	0	8
CURTIS_H004220_T01_01_WG01	0	15	0	20	2	16
CURTIS_H000587_T01_01_WG01	165	18	98	2	0	1
CURTIS_H001485_T01_01_WG01	92	33	26	4	0	1
CURTIS_H004718_T01_01_WG01	6	21	7	3	2	2
CURTIS_H004199_T01_01_WG01	28	139	17	37	3	7
CURTIS_H001601_T01_01_WG01	0	52	0	59	104	32
CURTIS_H000525_T01_01_WG01	25	8	3	0	0	0
CURTIS_H004234_T01_01_WG01	3	8	6	11	2	1
CURTIS_H004549_T01_01_WG01	4	35	5	5	0	0
CURTIS_H001424_T01_01_WG01	0	22	8	0	1	0
CURTIS_H004462_T01_01_WG01	12	17	14	9	0	0
CURTIS_H001689_T01_01_WG01	10	1	32	0	1	0
CURTIS_H001708_T01_01_WG01	26	15	25	0	0	5
CURTIS_H004120_T01_01_WG01	53	103	30	43	30	40
CURTIS_H004396_T01_01_WG01	5	47	21	17	0	130
CURTIS_H000415_T01_01_WG01	87	42	136	0	0	17
CURTIS_H001604_T01_01_WG01	2	17	8	0	1	0
CURTIS_H004383_T01_01_WG01	0	6	0	0	0	0
CURTIS_H001415_T01_01_WG01	21	29	42	4	0	2
CURTIS_H001630_T01_01_WG01	38	66	53	66	6	5
CURTIS_H004219_T01_01_WG01	131	119	135	45	1	6
CURTIS_H004756_T01_01_WG01	13	78	3	36	76	8
CURTIS_H001625_T01_01_WG01	0	64	0	35	0	0
CURTIS_H004429_T01_01_WG01	44	21	4	8	2	1
CURTIS_H004326_T01_01_WG01	9	44	1	119	0	13
CURTIS_H002068_T01_01_WG01	0	59	0	0	311	2
CURTIS_H004774_T01_01_WG01	45	1	38	7	3	35
CURTIS_H004777_T01_01_WG01	5	17	5	68	0	10
CURTIS_H001737_T01_01_WG01	0	17	0	0	1	0
CURTIS_H004765_T01_01_WG01	0	31	0	29	172	33
CURTIS_H004690_T01_01_WG01	189	189	289	61	0	14
CURTIS_H000456_T01_01_WG01	56	1	1	2	0	9
CURTIS_H000578_T01_01_WG01	1	74	25	162	1	6
CURTIS_H004621_T02_01_WG01	29	55	1	17	2	5
CURTIS_H004144_T01_01_WG01	0	99	3	136	5	0
CURTIS_H004254_T01_01_WG01	13	19	0	4	0	2
CURTIS_H004280_T01_01_WG01	0	38	7	14	0	10
CURTIS_H004142_T01_01_WG01	56	285	140	0	7	15
CURTIS_H004673_T01_01_WG01	46	90	37	31	0	90
CURTIS_H004271_T02_01_WG01	108	94	55	6	0	23
CURTIS_H004610_T01_01_WG01	0	93	5	133	7	19
CURTIS_H000400_T01_01_WG01	233	24	144	4	1	0
CURTIS_H002036_T01_01_WG01	1	10	0	2	0	2
CURTIS_H000567_T01_01_WG01	0	39	3	206	3	2
CURTIS_H000442_T01_01_WG01	15	29	8	68	0	5
CURTIS_H004304_T01_01_WG01	294	138	353	80	13	72
CURTIS_H004224_T01_01_WG01	1	11	0	1	0	0
CURTIS_H002035_T01_01_WG01	2	0	0	0	85	1
CURTIS_H001597_T01_01_WG01	0	62	3	34	119	14
CURTIS_H004624_T01_01_WG01	5	60	11	9	1	0
CURTIS_H001580_T01_01_WG01	1	25	0	30	345	82
CURTIS_H004496_T01_01_WG01	1	18	0	2	0	0
CURTIS_H000574_T01_01_WG01	0	15	3	39	128	30
CURTIS_H004773_T01_01_WG01	71	69	101	2	0	5
CURTIS_H001502_T01_01_WG01	0	0	0	1	0	0
CURTIS_H004128_T01_01_WG01	0	5	0	7	2	1
CURTIS_H001587_T01_01_WG01	0	74	0	92	2	7
CURTIS_H004242_T01_01_WG01	114	37	8	81	3	17
CURTIS_H004497_T01_01_WG01	0	11	7	25	1	7
CURTIS_H004331_T01_01_WG01	0	103	4	157	374	236
CURTIS_H004436_T01_01_WG01	124	63	117	0	0	1
CURTIS_H004557_T01_01_WG01	94	21	107	18	0	14
CURTIS_H004298_T01_01_WG01	32	27	3	30	0	16
CURTIS_H004642_T01_01_WG01	139	6	115	15	2	14
CURTIS_H001546_T01_01_WG01	0	28	0	4	0	3
CURTIS_H004433_T01_01_WG01	15	2	1	5	0	0
CURTIS_H002064_T01_01_WG01	0	1	0	0	0	0
CURTIS_H004534_T01_01_WG01	130	208	83	20	0	288
CURTIS_H004518_T01_01_WG01	22	106	68	89	24	145
CURTIS_H004583_T01_01_WG01	0	75	2	23	4	3
CURTIS_H001435_T01_01_WG01	6	29	7	2	0	0
CURTIS_H004237_T01_01_WG01	16	10	28	10	1	2
CURTIS_H004504_T01_01_WG01	64	19	25	13	0	6
CURTIS_H004274_T02_01_WG01	86	34	4	5	0	38
CURTIS_H001582_T01_01_WG01	0	12	0	48	0	7
CURTIS_H004402_T01_01_WG01	0	28	0	187	3	1
CURTIS_H001645_T01_01_WG01	0	0	0	0	130	11
CURTIS_H004524_T01_01_WG01	0	249	17	242	20	14
CURTIS_H002076_T01_01_WG01	0	2	0	0	0	0
CURTIS_H004473_T01_01_WG01	21	54	29	24	0	1
CURTIS_H001523_T01_01_WG01	0	3	0	1	0	0
CURTIS_H001422_T01_01_WG01	21	13	17	21	9	28
CURTIS_H001473_T01_01_WG01	0	6	0	3	0	8
CURTIS_H001396_T01_01_WG01	0	30	0	3	1	3
CURTIS_H004367_T01_01_WG01	418	36	799	0	5	10
CURTIS_H004580_T01_01_WG01	59	39	12	20	11	6
CURTIS_H004279_T01_01_WG01	15	79	8	0	3	0
CURTIS_H004296_T01_01_WG01	25	121	14	5	2	545
CURTIS_H004725_T01_01_WG01	89	96	117	17	18	49
CURTIS_H004270_T01_01_WG01	120	109	84	7	0	8
CURTIS_H004086_T01_01_WG01	3	2	33	5	0	6
CURTIS_H004076_T01_01_WG01	159	236	100	46	13	38
CURTIS_H004698_T01_01_WG01	111	81	238	7	0	13
CURTIS_H004161_T01_01_WG01	0	4	0	3	0	3
CURTIS_H004485_T01_01_WG01	29	62	7	22	2	6
CURTIS_H001662_T01_01_WG01	16	54	5	37	5	34
CURTIS_H000577_T01_01_WG01	31	21	29	48	3	8
CURTIS_H001484_T01_01_WG01	98	0	0	43	0	0
CURTIS_H002041_T01_01_WG01	4	41	10	15	0	1
CURTIS_H001592_T01_01_WG01	0	9	0	34	141	4
CURTIS_H004640_T01_01_WG01	11	14	29	3	0	0
CURTIS_H004625_T01_01_WG01	29	34	2	2	0	20
CURTIS_H004152_T01_01_WG01	84	77	20	47	1	5
CURTIS_H000495_T01_01_WG01	7	0	0	0	0	0
CURTIS_H004754_T01_01_WG01	3	14	7	21	0	14
CURTIS_H004772_T01_01_WG01	307	163	377	10	8	10
CURTIS_H004537_T01_01_WG01	3	0	6	64	33	171
CURTIS_H004643_T01_01_WG01	635	213	274	0	0	253
CURTIS_H000536_T01_01_WG01	37	32	16	18	2	1
CURTIS_H001581_T01_01_WG01	136	83	29	4	4	7
CURTIS_H004657_T01_01_WG01	89	95	48	24	0	16
CURTIS_H004459_T01_01_WG01	0	73	1	75	555	0
CURTIS_H004343_T01_01_WG01	470	237	73	68	8	41
CURTIS_H001559_T01_01_WG01	24	20	5	2	1	3
CURTIS_H000403_T01_01_WG01	0	115	2	106	337	67
CURTIS_H004126_T01_01_WG01	11	11	0	5	0	1
CURTIS_H004214_T01_01_WG01	4	18	24	32	4	40
CURTIS_H001539_T01_01_WG01	5	16	19	0	0	4
CURTIS_H004425_T01_01_WG01	245	82	163	18	0	56
CURTIS_H001524_T01_01_WG01	21	3	17	0	2	0
CURTIS_H004771_T01_01_WG01	59	47	17	5	2	8
CURTIS_H004438_T01_01_WG01	106	4	215	20	0	137
CURTIS_H004470_T01_01_WG01	12	25	0	54	17	46
CURTIS_H004607_T01_01_WG01	74	162	17	32	5	13
CURTIS_H004677_T01_01_WG01	322	116	93	69	12	16
CURTIS_H000433_T01_01_WG01	0	1	0	0	0	0
CURTIS_H000416_T01_01_WG01	16	7	4	1	0	0
CURTIS_H001451_T01_01_WG01	7	8	2	1	0	0
CURTIS_H004519_T01_01_WG01	25	33	0	17	0	3
CURTIS_H001666_T01_01_WG01	0	54	0	36	2	4
CURTIS_H000404_T01_01_WG01	0	3	0	2	0	0
CURTIS_H001711_T01_01_WG01	0	1	0	1	0	0
CURTIS_H004526_T01_01_WG01	59	50	13	5	1	2
CURTIS_H001501_T01_01_WG01	2	5	0	12	0	1
CURTIS_H004592_T01_01_WG01	47	40	34	7	0	1
CURTIS_H004449_T01_01_WG01	0	16	0	16	0	61
CURTIS_H000409_T01_01_WG01	0	23	4	72	0	332
CURTIS_H004247_T01_01_WG01	0	51	8	138	17	12
CURTIS_H001574_T01_01_WG01	0	6	0	9	0	4
CURTIS_H001557_T01_01_WG01	0	0	0	4	0	0
CURTIS_H004456_T01_01_WG01	58	17	102	33	0	6
CURTIS_H000387_T01_01_WG01	96	37	49	1	0	4
CURTIS_H004109_T01_01_WG01	30	48	33	0	0	9
CURTIS_H004281_T01_01_WG01	118	27	43	6	0	8
CURTIS_H000529_T01_01_WG01	45	0	41	5	0	2
CURTIS_H004335_T01_01_WG01	558	153	272	15	1	31
CURTIS_H001619_T01_01_WG01	5	12	0	42	281	17
CURTIS_H004627_T01_01_WG01	0	65	0	80	9	6
CURTIS_H004418_T01_01_WG01	56	41	1	10	0	106
CURTIS_H004218_T01_01_WG01	73	2	55	10	0	1
CURTIS_H002047_T01_01_WG01	30	31	30	20	4	3
CURTIS_H001584_T01_01_WG01	0	82	0	45	48	7
CURTIS_H000418_T01_01_WG01	1	24	4	1	0	3
CURTIS_H004608_T01_01_WG01	148	88	13	204	0	18
CURTIS_H002040_T01_01_WG01	0	20	0	13	118	7
CURTIS_H000383_T01_01_WG01	0	50	2	8	122	18
CURTIS_H004596_T01_01_WG01	10	82	12	7	3	7
CURTIS_H004312_T01_01_WG01	35	85	56	120	19	22
CURTIS_H004118_T01_01_WG01	43	11	38	15	2	0
CURTIS_H004446_T01_01_WG01	4	59	0	16	11	5
CURTIS_H001595_T01_01_WG01	34	33	2	9	0	2
CURTIS_H004736_T01_01_WG01	35	93	41	93	12	57
CURTIS_H004221_T01_01_WG01	432	196	218	6	9	8
CURTIS_H000401_T01_01_WG01	0	39	0	58	87	3
CURTIS_H001488_T01_01_WG01	45	30	88	5	3	6
CURTIS_H004295_T01_01_WG01	45	81	15	18	0	78
CURTIS_H001599_T01_01_WG01	0	0	0	6	3	2
CURTIS_H002054_T01_01_WG01	0	130	8	67	7	6
CURTIS_H004618_T01_01_WG01	43	31	16	22	2	0
CURTIS_H004420_T01_01_WG01	54	26	81	22	7	3
CURTIS_H004305_T01_01_WG01	337	158	321	18	0	9
CURTIS_H001486_T01_01_WG01	212	28	65	14	0	3
CURTIS_H001727_T01_01_WG01	231	0	83	0	0	0
CURTIS_H004717_T01_01_WG01	190	36	147	41	25	14
CURTIS_H004492_T01_01_WG01	9	52	17	120	524	63
CURTIS_H001516_T01_01_WG01	5	41	27	168	10	27
CURTIS_H001460_T01_01_WG01	1	1	0	0	0	0
CURTIS_H001492_T01_01_WG01	34	71	11	34	0	9
CURTIS_H003223_T01_01_WG01	236	28	205	26	3	16
CURTIS_H001550_T01_01_WG01	45	67	129	14	0	12
CURTIS_H000546_T01_01_WG01	0	58	4	289	7	0
CURTIS_H002097_T01_01_WG01	4	26	6	50	0	34
CURTIS_H004545_T01_01_WG01	77	76	18	30	0	16
CURTIS_H004615_T01_01_WG01	130	62	4	56	1	7
CURTIS_H000550_T01_01_WG01	0	74	2	15	266	20
CURTIS_H004668_T01_01_WG01	46	1	25	12	0	0
CURTIS_H004581_T01_01_WG01	0	141	0	228	254	57
CURTIS_H000575_T01_01_WG01	0	36	0	22	57	21
CURTIS_H004253_T01_01_WG01	0	145	7	0	429	21
CURTIS_H004282_T01_01_WG01	167	41	111	26	0	3
CURTIS_H004603_T01_01_WG01	135	216	256	32	15	13
CURTIS_H004669_T01_01_WG01	140	5	95	25	0	0
CURTIS_H004587_T01_01_WG01	62	74	35	11	0	28
CURTIS_H004479_T01_01_WG01	20	19	0	2	1	1
CURTIS_H004171_T01_01_WG01	77	18	120	20	0	7
CURTIS_H001419_T01_01_WG01	19	32	15	6	0	2
CURTIS_H000506_T01_01_WG01	14	114	91	100	5	18
CURTIS_H004079_T02_01_WG01	132	12	20	7	3	18
CURTIS_H004082_T02_01_WG01	0	32	0	0	1	0
CURTIS_H001423_T01_01_WG01	22	2	0	1	1	2
CURTIS_H001680_T01_01_WG01	25	5	45	7	0	1
CURTIS_H001436_T01_01_WG01	30	28	23	6	2	3
CURTIS_H004055_T01_01_WG01	256	353	312	21	14	10
CURTIS_H004283_T01_01_WG01	48	143	55	8	8	4
CURTIS_H004764_T01_01_WG01	89	63	70	7	0	1
CURTIS_H000514_T01_01_WG01	0	135	6	46	396	22
CURTIS_H004579_T01_01_WG01	5	75	9	4	2	1
CURTIS_H001590_T01_01_WG01	0	105	9	95	98	39
CURTIS_H004595_T01_01_WG01	13	27	0	5	0	0
CURTIS_H000724_T01_01_WG01	2	2	0	6	0	0
CURTIS_H004189_T01_01_WG01	48	0	26	0	1	3
CURTIS_H001681_T01_01_WG01	36	0	4	2	0	0
CURTIS_H004441_T01_01_WG01	5	64	4	0	0	4
CURTIS_H004422_T01_01_WG01	128	124	238	86	0	14
CURTIS_H004286_T01_01_WG01	161	71	74	70	11	46
CURTIS_H000552_T01_01_WG01	6	13	4	0	0	0
CURTIS_H001687_T01_01_WG01	241	114	102	12	6	4
CURTIS_H004236_T01_01_WG01	67	85	114	61	12	41
CURTIS_H004187_T01_01_WG01	43	49	91	106	7	28
CURTIS_H004112_T01_01_WG01	0	47	1	5	258	24
CURTIS_H004495_T01_01_WG01	0	18	0	12	2	2
CURTIS_H004050_T01_01_WG01	46	8	20	4	0	0
CURTIS_H004123_T01_01_WG01	44	10	97	22	5	16
CURTIS_H004188_T02_01_WG01	125	0	52	18	0	2
CURTIS_H000541_T01_01_WG01	0	81	8	52	0	2
CURTIS_H001667_T01_01_WG01	8	20	1	27	0	4
CURTIS_H001497_T01_01_WG01	61	28	4	10	0	4
CURTIS_H004177_T01_01_WG01	313	154	130	0	0	2
CURTIS_H001651_T01_01_WG01	52	16	1	5	1	33
CURTIS_H000488_T01_01_WG01	0	3	0	0	0	0
CURTIS_H004041_T01_01_WG01	18	1	4	25	482	45
CURTIS_H004049_T01_01_WG01	8	0	3	49	35	22
CURTIS_H001656_T01_01_WG01	45	31	4	8	0	4
CURTIS_H001402_T01_01_WG01	89	9	20	4	0	1
CURTIS_H004093_T02_01_WG01	113	171	60	49	0	41
CURTIS_H004638_T01_01_WG01	104	33	46	18	5	21
CURTIS_H001688_T01_01_WG01	58	50	58	7	0	3
CURTIS_H004371_T01_01_WG01	17	52	0	0	0	20
CURTIS_H001409_T01_01_WG01	1	0	0	0	0	0
CURTIS_H000414_T01_01_WG01	43	11	26	51	473	38
CURTIS_H004289_T01_01_WG01	287	153	78	41	3	11
CURTIS_H004582_T01_01_WG01	14	0	14	4	0	0
CURTIS_H001655_T01_01_WG01	12	70	2	0	0	4
CURTIS_H001500_T01_01_WG01	0	7	0	4	1	1
CURTIS_H001510_T01_01_WG01	277	234	612	0	7	19
CURTIS_H001617_T01_01_WG01	0	1	0	3	0	13
CURTIS_H004714_T01_01_WG01	188	281	179	15	0	52
CURTIS_H004023_T01_01_WG01	11	30	10	4	0	4
CURTIS_H002058_T01_01_WG01	0	17	3	9	123	0
CURTIS_H004027_T01_01_WG01	40	39	18	24	0	0
CURTIS_H004098_T02_01_WG01	0	148	0	221	263	57
CURTIS_H004614_T01_01_WG01	4	6	0	0	0	0
CURTIS_H001600_T01_01_WG01	43	76	18	23	0	2
CURTIS_H004514_T01_01_WG01	47	18	13	5	0	1
CURTIS_H004399_T01_01_WG01	25	26	4	20	0	2
CURTIS_H001606_T01_01_WG01	0	25	0	25	120	31
CURTIS_H002033_T01_01_WG01	0	110	0	120	256	23
CURTIS_H004148_T01_01_WG01	82	98	33	50	0	20
CURTIS_H004008_T01_01_WG01	162	136	64	13	4	17
CURTIS_H001683_T01_01_WG01	20	60	8	23	3	23
CURTIS_H004092_T01_01_WG01	178	62	74	30	1	7
CURTIS_H002087_T01_01_WG01	0	46	0	31	212	7
CURTIS_H004347_T01_01_WG01	29	5	129	14	0	25
CURTIS_H004660_T01_01_WG01	71	132	56	58	0	112
CURTIS_H001585_T01_01_WG01	51	36	50	3	0	4
CURTIS_H004313_T01_01_WG01	259	14	17	35	9	18
CURTIS_H001628_T01_01_WG01	0	26	0	3	8	25
CURTIS_H004421_T01_01_WG01	191	61	105	28	0	11
CURTIS_H000453_T01_01_WG01	22	129	3	74	6	2
CURTIS_H004299_T01_01_WG01	27	30	62	16	2	4
CURTIS_H004674_T01_01_WG01	142	374	185	35	26	36
CURTIS_H004358_T01_01_WG01	16	48	5	12	0	95
CURTIS_H004070_T02_01_WG01	41	31	27	6	1	1
CURTIS_H004672_T01_01_WG01	0	61	0	116	2	2
CURTIS_H004722_T01_01_WG01	41	39	9	4	0	3
CURTIS_H000492_T01_01_WG01	0	4	0	0	0	0
CURTIS_H004687_T01_01_WG01	26	44	14	8	0	4
CURTIS_H004376_T01_01_WG01	217	17	49	18	4	3
CURTIS_H004538_T01_01_WG01	82	74	2	10	5	7
CURTIS_H004011_T01_01_WG01	0	50	0	16	2	2
CURTIS_H004682_T01_01_WG01	19	18	12	27	0	3
CURTIS_H002093_T01_01_WG01	0	31	0	104	2	25
CURTIS_H000557_T01_01_WG01	0	13	0	1	0	0
CURTIS_H001462_T01_01_WG01	93	29	14	18	0	8
CURTIS_H001420_T01_01_WG01	0	7	0	0	0	0
CURTIS_H004255_T01_01_WG01	17	11	0	18	0	3
CURTIS_H004593_T01_01_WG01	15	21	0	30	0	7
CURTIS_H004090_T02_01_WG01	62	29	4	28	4	34
CURTIS_H001554_T01_01_WG01	27	6	0	10	0	0
CURTIS_H001664_T01_01_WG01	27	8	28	0	0	0
CURTIS_H004068_T01_01_WG01	37	16	9	23	0	54
CURTIS_H001589_T01_01_WG01	18	22	2	3	0	8
CURTIS_H004153_T01_01_WG01	7	203	1075	27	3	67
CURTIS_H004061_T01_01_WG01	10	6	0	9	1	2
CURTIS_H004176_T01_01_WG01	67	61	43	57	0	14
CURTIS_H001734_T01_01_WG01	0	2	0	0	0	0
CURTIS_H000548_T01_01_WG01	188	2	18	1	0	0
CURTIS_H004233_T01_01_WG01	0	0	0	5	1	0
CURTIS_H004141_T01_01_WG01	84	82	27	23	10	11
CURTIS_H002067_T01_01_WG01	0	53	0	44	12	2
CURTIS_H004008_T03_01_WG01	121	128	51	16	0	49
CURTIS_H004082_T01_01_WG01	0	34	0	0	0	0
CURTIS_H004481_T01_01_WG01	0	0	0	346	124	207
CURTIS_H004057_T01_01_WG01	17	28	0	0	1	1
CURTIS_H000517_T01_01_WG01	6	115	16	44	46	119
CURTIS_H004188_T01_01_WG01	102	18	120	16	1	4
CURTIS_H000429_T01_01_WG01	37	38	19	13	0	14
CURTIS_H004308_T01_01_WG01	119	39	60	11	0	20
CURTIS_H001399_T01_01_WG01	65	21	62	3	0	1
CURTIS_H004387_T01_01_WG01	118	135	18	42	29	28
CURTIS_H001421_T01_01_WG01	42	13	0	1	0	0
CURTIS_H001633_T01_01_WG01	0	2	0	20	0	52
CURTIS_H004269_T01_01_WG01	7	20	15	5	1	9
CURTIS_H001653_T01_01_WG01	45	4	3	6	0	2
CURTIS_H001622_T01_01_WG01	0	146	8	44	175	42
CURTIS_H000572_T01_01_WG01	0	91	0	51	59	38
CURTIS_H000455_T01_01_WG01	0	115	16	114	5	11
CURTIS_H004443_T01_01_WG01	209	124	61	21	13	28
CURTIS_H001443_T01_01_WG01	0	19	0	0	0	1
CURTIS_H004319_T01_01_WG01	94	142	62	27	2	10
CURTIS_H004667_T01_01_WG01	42	0	17	3	0	2
CURTIS_H004198_T01_01_WG01	47	71	7	15	0	9
CURTIS_H001570_T01_01_WG01	25	16	32	3	0	0
CURTIS_H000559_T01_01_WG01	78	18	130	16	0	4
CURTIS_H004114_T01_01_WG01	222	79	137	3	11	3
CURTIS_H004169_T01_01_WG01	103	119	90	56	3	9
CURTIS_H001542_T01_01_WG01	0	2	0	0	0	0
CURTIS_H002046_T01_01_WG01	1	49	3	66	500	83
CURTIS_H004166_T01_01_WG01	145	179	81	18	2	38
CURTIS_H004553_T01_01_WG01	14	98	15	71	5	2
CURTIS_H001441_T01_01_WG01	30	3	81	1	0	26
CURTIS_H004212_T01_01_WG01	13	69	20	0	1	0
CURTIS_H004012_T01_01_WG01	221	108	116	15	9	5
CURTIS_H004712_T01_01_WG01	186	96	51	46	12	72
CURTIS_H004213_T01_01_WG01	110	81	52	27	0	24
CURTIS_H004729_T01_01_WG01	3	32	0	1	0	4
CURTIS_H004103_T01_01_WG01	323	99	141	15	4	9
CURTIS_H001635_T01_01_WG01	54	10	2	12	0	1
CURTIS_H001724_T01_01_WG01	4	20	40	6	1	0
CURTIS_H004721_T01_01_WG01	0	47	0	14	108	135
CURTIS_H000521_T01_01_WG01	0	0	0	1	0	0
CURTIS_H004452_T01_01_WG01	40	26	17	13	0	1
CURTIS_H004562_T01_01_WG01	61	40	33	9	0	17
CURTIS_H004303_T01_01_WG01	41	30	22	12	2	3
CURTIS_H004348_T01_01_WG01	82	17	40	2	0	2
CURTIS_H004746_T01_01_WG01	121	55	295	20	2	14
CURTIS_H004230_T01_01_WG01	48	44	91	12	1	15
CURTIS_H004259_T01_01_WG01	174	164	85	19	5	11
CURTIS_H004757_T01_01_WG01	11	0	0	147	913	1065
CURTIS_H004776_T01_01_WG01	83	58	33	0	1	0
CURTIS_H004106_T01_01_WG01	12	18	2	0	0	3
CURTIS_H001703_T01_01_WG01	27	4	7	5	333	0
CURTIS_H000445_T01_01_WG01	188	0	0	179	146	128
CURTIS_H004503_T01_01_WG01	0	153	7	380	235	100
CURTIS_H000421_T01_01_WG01	89	9	25	5	1	0
CURTIS_H004034_T01_01_WG01	20	26	0	6	0	8
CURTIS_H004349_T01_01_WG01	2	20	0	4	0	10
CURTIS_H004392_T01_01_WG01	89	59	19	6	1	12
CURTIS_H004458_T01_01_WG01	7	55	14	48	6	13
CURTIS_H001476_T01_01_WG01	10	1	6	0	1	0
CURTIS_H004374_T01_01_WG01	33	105	4	4	3	5
CURTIS_H001696_T01_01_WG01	0	73	0	96	172	0
CURTIS_H002080_T01_01_WG01	113	39	22	5	0	4
CURTIS_H004578_T01_01_WG01	42	169	47	177	36	32
CURTIS_H004704_T01_01_WG01	28	25	2	14	0	7
CURTIS_H001603_T01_01_WG01	8	4	0	8	0	4
CURTIS_H004630_T01_01_WG01	69	11	51	23	0	10
CURTIS_H004650_T01_01_WG01	86	57	15	52	0	17
CURTIS_H001611_T01_01_WG01	0	4	0	6	1	1
CURTIS_H004263_T01_01_WG01	9	6	18	23	3	1
CURTIS_H001722_T01_01_WG01	21	11	45	1	2	2
CURTIS_H000537_T01_01_WG01	77	106	51	0	0	57
CURTIS_H000519_T01_01_WG01	0	69	6	173	6	5
CURTIS_H000405_T01_01_WG01	296	147	127	0	0	21
CURTIS_H001567_T01_01_WG01	199	0	137	0	0	3
CURTIS_H000502_T01_01_WG01	40	139	36	77	3	246
CURTIS_H001712_T01_01_WG01	59	19	2	9	0	0
CURTIS_H002044_T01_01_WG01	7	17	2	3	0	35
CURTIS_H000592_T01_01_WG01	2	9	20	10	0	0
CURTIS_H004747_T01_01_WG01	99	3	21	28	0	8
CURTIS_H004724_T01_01_WG01	90	100	248	7	4	8
CURTIS_H001564_T01_01_WG01	0	0	0	0	1	0
CURTIS_H004010_T01_01_WG01	6	17	7	4	2	2
CURTIS_H004366_T01_01_WG01	50	95	101	0	0	9
CURTIS_H004338_T01_01_WG01	165	58	175	29	7	28
CURTIS_H001618_T01_01_WG01	58	51	19	28	4	8
CURTIS_H004612_T01_01_WG01	30	20	29	4	0	38
CURTIS_H001505_T01_01_WG01	0	26	0	0	0	0
CURTIS_H000582_T01_01_WG01	39	34	155	26	0	12
CURTIS_H000467_T01_01_WG01	0	28	0	1	1	0
CURTIS_H001568_T01_01_WG01	0	16	0	1	0	0
CURTIS_H001548_T01_01_WG01	28	55	10	35	2	46
CURTIS_H002037_T01_01_WG01	0	98	18	0	1199	0
CURTIS_H001431_T01_01_WG01	0	1	0	1	0	0
CURTIS_H001735_T01_01_WG01	0	0	0	0	0	1
CURTIS_H001695_T01_01_WG01	70	33	48	15	2	19
CURTIS_H004067_T01_01_WG01	0	7	0	2	0	0
CURTIS_H004202_T01_01_WG01	50	52	27	22	1	20
