Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
CURTIS_H004328_T01_01_WG01	0	335	6	131	363	68
CURTIS_H001728_T01_01_WG01	203	50	42	25	0	35
CURTIS_H004752_T01_01_WG01	31	50	31	10	0	1
CURTIS_H001448_T01_01_WG01	123	16	10	9	0	6
CURTIS_H000543_T01_01_WG01	14	54	5	0	9	282
CURTIS_H000553_T01_01_WG01	170	57	75	27	0	35
CURTIS_H004017_T01_01_WG01	64	154	116	22	16	15
CURTIS_H004172_T01_01_WG01	12	23	0	4	1	1
CURTIS_H004185_T01_01_WG01	0	32	7	317	0	0
CURTIS_H001710_T01_01_WG01	149	20	48	19	0	26
CURTIS_H004641_T01_01_WG01	44	29	119	20	18	94
CURTIS_H004523_T01_01_WG01	134	22	3	4	1	7
CURTIS_H001511_T01_01_WG01	40	25	10	36	1	1
CURTIS_H004081_T01_01_WG01	238	14	185	17	0	13
CURTIS_H004044_T01_01_WG01	9	93	37	80	162	64
CURTIS_H000413_T01_01_WG01	0	31	1	3	147	0
CURTIS_H001576_T01_01_WG01	0	5	0	0	0	0
CURTIS_H004442_T01_01_WG01	0	10	0	5	1	2
CURTIS_H004389_T01_01_WG01	123	105	176	19	0	1
CURTIS_H000452_T01_01_WG01	31	45	71	0	2	0
CURTIS_H001610_T01_01_WG01	0	54	0	60	12	6
CURTIS_H004726_T01_01_WG01	0	26	0	72	0	11
CURTIS_H004373_T01_01_WG01	16	26	9	40	11	63
CURTIS_H004083_T01_01_WG01	202	46	124	47	0	12
CURTIS_H004102_T01_01_WG01	78	147	80	8	0	3
CURTIS_H004506_T01_01_WG01	42	103	23	7	1	25
CURTIS_H004489_T01_01_WG01	46	19	19	5	2	1
CURTIS_H004694_T01_01_WG01	14	11	5	1	0	1
CURTIS_H000493_T01_01_WG01	0	34	0	0	1	0
CURTIS_H004488_T01_01_WG01	5	24	38	1	0	1
CURTIS_H000393_T01_01_WG01	74	46	61	18	2	4
CURTIS_H004619_T01_01_WG01	57	50	3	30	14	8
CURTIS_H001433_T01_01_WG01	11	1	13	6	0	0
CURTIS_H004209_T01_01_WG01	5	36	0	0	0	5
CURTIS_H004244_T02_01_WG01	79	86	140	46	4	4
CURTIS_H004135_T01_01_WG01	0	104	16	226	1	19
CURTIS_H000527_T01_01_WG01	77	62	137	24	0	8
CURTIS_H001395_T01_01_WG01	28	101	87	124	9	8
CURTIS_H004680_T01_01_WG01	61	42	21	14	6	3
CURTIS_H001487_T01_01_WG01	15	13	2	2	0	7
CURTIS_H004501_T01_01_WG01	9	35	1	0	0	0
CURTIS_H004507_T01_01_WG01	7	9	3	5	0	0
CURTIS_H004515_T01_01_WG01	86	83	66	69	4	24
CURTIS_H000425_T01_01_WG01	15	25	2	6	2	7
CURTIS_H004314_T01_01_WG01	315	129	423	15	13	25
CURTIS_H004426_T01_01_WG01	0	11	0	0	0	0
CURTIS_H000439_T01_01_WG01	0	8	25	1	0	0
CURTIS_H002090_T01_01_WG01	22	161	26	137	65	13
CURTIS_H004110_T01_01_WG01	10	18	15	0	0	1
CURTIS_H001545_T01_01_WG01	225	183	152	4	1	16
CURTIS_H000424_T01_01_WG01	0	20	0	2	0	3
CURTIS_H002085_T01_01_WG01	1	16	0	9	0	1
CURTIS_H000457_T01_01_WG01	0	8	0	3	1	2
CURTIS_H004316_T01_01_WG01	14	13	21	16	1	0
CURTIS_H004101_T01_01_WG01	1	77	3	11	4	7
CURTIS_H001446_T01_01_WG01	20	21	11	7	4	21
CURTIS_H004509_T01_01_WG01	5	36	11	103	10	10
CURTIS_H000515_T01_01_WG01	8	24	0	28	0	4
CURTIS_H004584_T01_01_WG01	67	38	7	121	7	2
CURTIS_H004155_T01_01_WG01	45	22	19	15	0	4
CURTIS_H004548_T01_01_WG01	23	28	11	17	4	1
CURTIS_H001747_T01_01_WG01	81	32	7	6	0	5
CURTIS_H004430_T01_01_WG01	39	20	31	21	0	8
CURTIS_H000430_T01_01_WG01	1	16	0	0	0	0
CURTIS_H002059_T01_01_WG01	8	46	2	44	193	38
CURTIS_H001401_T01_01_WG01	284	19	137	0	3	5
CURTIS_H004036_T01_01_WG01	18	28	0	2	0	15
CURTIS_H004297_T01_01_WG01	7	15	12	1	0	7
CURTIS_H004334_T01_01_WG01	451	190	613	15	5	97
CURTIS_H004105_T01_01_WG01	1	55	0	5	1	1
CURTIS_H001416_T01_01_WG01	177	44	47	20	0	36
CURTIS_H004232_T01_01_WG01	3	39	8	27	8	20
CURTIS_H004622_T01_01_WG01	43	99	18	55	406	85
CURTIS_H001551_T01_01_WG01	0	5	0	0	0	0
CURTIS_H004262_T01_01_WG01	61	46	9	3	0	11
CURTIS_H000563_T01_01_WG01	21	4	0	16	0	47
CURTIS_H000394_T01_01_WG01	32	44	3	14	0	3
CURTIS_H004720_T01_01_WG01	0	157	0	37	236	25
CURTIS_H004284_T01_01_WG01	94	16	26	2	0	0
CURTIS_H000516_T01_01_WG01	8	0	0	24	159	1
CURTIS_H004758_T01_01_WG01	0	74	0	71	204	79
CURTIS_H004156_T01_01_WG01	0	54	1	36	0	158
CURTIS_H001495_T01_01_WG01	3	23	4	0	0	2
CURTIS_H001464_T01_01_WG01	85	56	20	24	0	114
CURTIS_H004207_T01_01_WG01	70	55	382	21	2	6
CURTIS_H004064_T01_01_WG01	20	195	69	264	63	40
CURTIS_H001491_T01_01_WG01	0	4	0	0	0	0
CURTIS_H001493_T01_01_WG01	0	3	0	5	1	0
CURTIS_H004466_T01_01_WG01	281	147	111	17	2	146
CURTIS_H004095_T01_01_WG01	46	33	3	127	0	41
CURTIS_H001674_T01_01_WG01	0	2	0	4	1	0
CURTIS_H004703_T01_01_WG01	9	16	7	0	0	0
CURTIS_H004394_T01_01_WG01	54	66	13	109	0	42
CURTIS_H004192_T01_01_WG01	85	15	6	1	0	1
CURTIS_H001732_T01_01_WG01	1	0	0	1	2	0
CURTIS_H000561_T01_01_WG01	4	5	9	55	7	5
CURTIS_H004499_T01_01_WG01	19	20	2	1	2	0
CURTIS_H001736_T01_01_WG01	5	8	4	0	0	0
CURTIS_H004362_T01_01_WG01	142	55	112	21	0	119
CURTIS_H004654_T01_01_WG01	5	14	23	6	0	3
CURTIS_H000531_T01_01_WG01	0	24	0	59	5	0
CURTIS_H004391_T01_01_WG01	16	0	0	0	0	3
CURTIS_H001477_T01_01_WG01	0	5	0	3	0	1
CURTIS_H001453_T01_01_WG01	39	6	12	5	0	4
CURTIS_H000390_T01_01_WG01	39	124	27	114	4	0
CURTIS_H004320_T01_01_WG01	127	155	362	30	5	47
CURTIS_H004272_T01_01_WG01	7	117	19	25	6	22
CURTIS_H004089_T01_01_WG01	13	15	19	0	0	2
CURTIS_H004340_T01_01_WG01	9	44	31	87	1	18
CURTIS_H001744_T01_01_WG01	38	0	9	4	0	0
CURTIS_H002038_T01_01_WG01	0	62	0	72	142	44
CURTIS_H002077_T01_01_WG01	0	0	0	3	0	0
CURTIS_H004767_T01_01_WG01	23	33	24	1	0	1
CURTIS_H004032_T01_01_WG01	10	38	0	6	2	49
CURTIS_H004111_T01_01_WG01	17	8	11	29	2	4
CURTIS_H004539_T01_01_WG01	55	17	26	18	1	5
CURTIS_H001526_T01_01_WG01	145	13	9	6	2	7
CURTIS_H004655_T01_01_WG01	5	13	4	4	0	4
CURTIS_H004039_T01_01_WG01	36	0	12	0	615	0
CURTIS_H002045_T01_01_WG01	0	131	7	129	142	13
CURTIS_H004414_T01_01_WG01	12	372	70	232	20	24
CURTIS_H001494_T01_01_WG01	99	50	35	27	0	24
CURTIS_H000444_T01_01_WG01	12	71	7	0	1	0
CURTIS_H004663_T01_01_WG01	33	9	28	3	0	1
CURTIS_H001686_T01_01_WG01	0	28	0	83	167	8
CURTIS_H000497_T01_01_WG01	60	30	63	16	1	7
CURTIS_H004398_T01_01_WG01	161	124	286	107	6	56
CURTIS_H004122_T01_01_WG01	30	25	15	4	1	1
CURTIS_H001676_T01_01_WG01	108	11	5	6	1	4
