LF3 LF1 LF2
CURTIS_H000378_T01_01_WG01 0.587030870719075 0.282873095363789 0.663983478994975
CURTIS_H000379_T01_01_WG01 0.618907265257358 0.89293186001122 2.22044604925031e-16
CURTIS_H000380_T01_01_WG01 0.625551541238854 2.22044604925031e-16 0.919127608236736
CURTIS_H000381_T01_01_WG01 0.508560888300396 0.998237176518883 2.22044604925031e-16
CURTIS_H000382_T01_01_WG01 2.22044604925031e-16 1.48356498503206 2.22044604925031e-16
CURTIS_H000383_T01_01_WG01 2.22044604925031e-16 0.502697658631043 1.01686360085595
CURTIS_H000384_T01_01_WG01 0.00513856996467668 1.47866116533767 2.22044604925031e-16
CURTIS_H000385_T01_01_WG01 0.33604480369252 1.16287204168877 2.22044604925031e-16
CURTIS_H000386_T01_01_WG01 0.236104446910098 1.25824672632356 2.22044604925031e-16
CURTIS_H000387_T01_01_WG01 1.28317124945735 0.259014090983744 2.22044604925031e-16
CURTIS_H000388_T01_01_WG01 0.0250686118851565 1.45964160683176 2.22044604925031e-16
CURTIS_H000389_T01_01_WG01 0.0407695089025381 1.44465798910488 2.22044604925031e-16
CURTIS_H000390_T01_01_WG01 0.290891621263132 1.20596244753789 2.22044604925031e-16
CURTIS_H000391_T01_01_WG01 0.275827675677003 1.22033821230287 2.22044604925031e-16
CURTIS_H000392_T01_01_WG01 1.55458457851541 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H000393_T01_01_WG01 0.529242947827963 0.681522043666527 0.307876530014997
CURTIS_H000394_T01_01_WG01 0.327336604543506 0.425219670228592 0.773338394589328
CURTIS_H000395_T01_01_WG01 0.43821210343244 1.06537214968922 2.22044604925031e-16
CURTIS_H000396_T01_01_WG01 0.984736780324167 0.274101458454852 0.279611485594515
CURTIS_H000397_T01_01_WG01 0.179030227837499 1.31271356854904 2.22044604925031e-16
CURTIS_H000398_T01_01_WG01 0.9445699783262 0.00104574081126606 0.60242645494364
CURTIS_H000399_T01_01_WG01 0.566232377502729 0.65022909295547 0.303722837123719
CURTIS_H000400_T01_01_WG01 0.962666763704214 2.22044604925031e-16 0.585606736865888
CURTIS_H000401_T01_01_WG01 0.340985419000789 0.834628758738572 0.335401352534669
CURTIS_H000402_T01_01_WG01 0.751128485995707 0.766751029404412 2.22044604925031e-16
CURTIS_H000403_T01_01_WG01 2.22044604925031e-16 1.48356498503206 2.22044604925031e-16
CURTIS_H000404_T01_01_WG01 2.22044604925031e-16 1.48356498503206 2.22044604925031e-16
CURTIS_H000405_T01_01_WG01 0.529004741216029 0.978727279943336 2.22044604925031e-16
CURTIS_H000406_T01_01_WG01 0.03923699090409 1.4461204955988 2.22044604925031e-16
CURTIS_H000407_T01_01_WG01 0.0508590734647826 1.43502935589596 2.22044604925031e-16
CURTIS_H000408_T01_01_WG01 0.175167917355922 2.22044604925031e-16 1.36470920372233
CURTIS_H000409_T01_01_WG01 2.22044604925031e-16 1.48356498503206 2.22044604925031e-16
CURTIS_H000410_T01_01_WG01 0.752015370412942 0.0458268385568864 0.746503536320734
CURTIS_H000411_T01_01_WG01 0.0952341304200281 1.39268152766106 2.22044604925031e-16
CURTIS_H000412_T01_01_WG01 1.45470903296833 2.22044604925031e-16 0.0988106640094645
CURTIS_H000413_T01_01_WG01 2.22044604925031e-16 1.48356498503206 2.22044604925031e-16
CURTIS_H000414_T01_01_WG01 0.0891159818794218 1.39852017489422 2.22044604925031e-16
CURTIS_H000415_T01_01_WG01 1.14441958307645 2.22044604925031e-16 0.405791781469254
CURTIS_H000416_T01_01_WG01 0.560162939353256 0.948992511959708 2.22044604925031e-16
CURTIS_H000417_T01_01_WG01 0.0620809809652127 1.42432010966839 2.22044604925031e-16
CURTIS_H000418_T01_01_WG01 0.597759813965501 0.674997128876365 0.246854565324843
CURTIS_H000419_T01_01_WG01 0.4252195989423 2.22044604925031e-16 1.11732359437327
CURTIS_H000420_T01_01_WG01 0.660370454449926 2.22044604925031e-16 0.884679937231502
CURTIS_H000421_T01_01_WG01 1.21319671344928 2.22044604925031e-16 0.337747958693821
CURTIS_H000422_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 0.769004732943225
CURTIS_H000423_T01_01_WG01 0.165957390803055 0.121563619460291 1.24779671546054
CURTIS_H000424_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.53800946588645
CURTIS_H000425_T01_01_WG01 0.90372321811879 2.22044604925031e-16 0.643921821368956
CURTIS_H000426_T01_01_WG01 1.00797227460303 2.22044604925031e-16 0.54078427716688
CURTIS_H000427_T01_01_WG01 0.594571447363382 0.204291824614013 0.737988379313244
CURTIS_H000428_T01_01_WG01 0.777292289257705 2.22044604925031e-16 0.769004732943225
CURTIS_H000429_T01_01_WG01 1.21604857168783 2.22044604925031e-16 0.334926507209693
CURTIS_H000430_T01_01_WG01 0.34407179283236 2.22044604925031e-16 1.19760619569188
CURTIS_H000431_T01_01_WG01 0.984941619039866 2.22044604925031e-16 0.563569377927078
