Sample,group,cohort,ecdna,FGFR1,MYC,CCND1,ERBB2,MSI2,PPM1D,TypeI_IFN,Cohort,SampleToJoin,label
CURTIS_H001391,ER+ High,NikZainal,TRUE,2.1,2.1,2.1,2.1,2.1,2.1,0.0766422809426125,Nik-Zainal,CURTIS_H001391,ic1
CURTIS_H001394,ER+ High,NikZainal,TRUE,2.1,2.1,2.1,2.1,2.1,2.1,-0.147758354788426,Nik-Zainal,CURTIS_H001394,ic6
CURTIS_H001395,ER+ High,NikZainal,TRUE,3.7,3.7,3.7,3.7,3.7,3.7,0.238008909259541,Nik-Zainal,CURTIS_H001395,ic1
CURTIS_H001416,ER+ High,NikZainal,FALSE,4,4,4,4,4,4,0.0509306113871252,Nik-Zainal,CURTIS_H001416,ic9
CURTIS_H001417,ER+ High,NikZainal,TRUE,3.2,3.2,3.2,3.2,3.2,3.2,-0.282159906851216,Nik-Zainal,CURTIS_H001417,ic1
CURTIS_H001419,ER+ High,NikZainal,TRUE,2.1,2.1,2.1,2.1,2.1,2.1,0.143290490883707,Nik-Zainal,CURTIS_H001419,ic6
CURTIS_H001432,ER+ High,NikZainal,FALSE,4.3,4.3,4.3,4.3,4.3,4.3,0.118751347530475,Nik-Zainal,CURTIS_H001432,ic2
CURTIS_H001436,ER+ High,NikZainal,FALSE,4.4,4.4,4.4,4.4,4.4,4.4,-0.28462230842835,Nik-Zainal,CURTIS_H001436,ic1
CURTIS_H001438,ER+ High,NikZainal,TRUE,2.4,2.4,2.4,2.4,2.4,2.4,0.29744747329607,Nik-Zainal,CURTIS_H001438,ic6
CURTIS_H001452,ER+ High,NikZainal,TRUE,2,2,2,2,2,2,-0.304415990793033,Nik-Zainal,CURTIS_H001452,ic2
CURTIS_H001459,ER+ High,NikZainal,TRUE,2.1,2.1,2.1,2.1,2.1,2.1,-0.0829147098868422,Nik-Zainal,CURTIS_H001459,ic1
CURTIS_H001471,ER+ High,NikZainal,FALSE,2.5,2.5,2.5,2.5,2.5,2.5,0.284715420574063,Nik-Zainal,CURTIS_H001471,ic2
CURTIS_H001478,ER+ High,NikZainal,TRUE,3.3,3.3,3.3,3.3,3.3,3.3,-0.0475764043223718,Nik-Zainal,CURTIS_H001478,ic1
CURTIS_H001501,ER+ High,NikZainal,FALSE,2.2,2.2,2.2,2.2,2.2,2.2,0.40325505456411,Nik-Zainal,CURTIS_H001501,ic9
CURTIS_H001519,ER+ High,NikZainal,TRUE,4.2,4.2,4.2,4.2,4.2,4.2,-0.0366608213952602,Nik-Zainal,CURTIS_H001519,ic9
CURTIS_H001520,ER+ High,NikZainal,FALSE,4.6,4.6,4.6,4.6,4.6,4.6,-0.0848043737287223,Nik-Zainal,CURTIS_H001520,ic9
CURTIS_H001532,ER+ High,NikZainal,TRUE,2,2,2,2,2,2,0.172909334232125,Nik-Zainal,CURTIS_H001532,ic2
