donor	sample	myc_cn	myc_rna
CURTIS_H004140	CURTIS_H004140_T01_01_WG01	5	9.86512574090377
CURTIS_H004141	CURTIS_H004141_T01_01_WG01	4	7.93218473495264
CURTIS_H004142	CURTIS_H004142_T01_01_WG01	4	10.3507987939159
CURTIS_H004143	CURTIS_H004143_T01_01_WG01	5	11.0212752544027
CURTIS_H004144	CURTIS_H004144_T01_01_WG01	8	8.51927477913017
CURTIS_H004145	CURTIS_H004145_T01_01_WG01	8	11.3849967962213
CURTIS_H004146	CURTIS_H004146_T01_01_WG01	2	8.65353102457074
CURTIS_H004147	CURTIS_H004147_T01_01_WG01	7	8.71047703416781
CURTIS_H004148	CURTIS_H004148_T01_01_WG01	3	12.4692233901359
CURTIS_H004149	CURTIS_H004149_T01_01_WG01	3	9.85510645734385
CURTIS_H004150	CURTIS_H004150_T01_01_WG01	4	9.31334853596748
CURTIS_H004152	CURTIS_H004152_T01_01_WG01	4	11.0957667373667
CURTIS_H004153	CURTIS_H004153_T01_01_WG01	30	12.7078888902917
CURTIS_H004155	CURTIS_H004155_T01_01_WG01	5	10.5091787148933
CURTIS_H004156	CURTIS_H004156_T01_01_WG01	6	10.2959696103214
CURTIS_H004157	CURTIS_H004157_T01_01_WG01	5	10.7027668307181
CURTIS_H004159	CURTIS_H004159_T02_01_WG01	6	10.3090986755524
CURTIS_H004160	CURTIS_H004160_T01_01_WG01	6	9.25796004411393
CURTIS_H004161	CURTIS_H004161_T01_01_WG01	3	9.09865946841169
CURTIS_H004162	CURTIS_H004162_T01_01_WG01	4	11.9230345770644
CURTIS_H004163	CURTIS_H004163_T01_01_WG01	2	10.7630780364373
CURTIS_H004164	CURTIS_H004164_T01_01_WG01	5	9.40979772167057
CURTIS_H004165	CURTIS_H004165_T01_01_WG01	4	10.3980101088272
CURTIS_H004166	CURTIS_H004166_T01_01_WG01	7	8.93552109319996
CURTIS_H004168	CURTIS_H004168_T01_01_WG01	5	8.5305447262015
CURTIS_H004169	CURTIS_H004169_T01_01_WG01	12	11.1751863295593
CURTIS_H004170	CURTIS_H004170_T01_01_WG01	22	8.24304080969551
CURTIS_H004172	CURTIS_H004172_T01_01_WG01	3	8.97207785610537
CURTIS_H004173	CURTIS_H004173_T01_01_WG01	4	9.90445255708454
CURTIS_H004174	CURTIS_H004174_T01_01_WG01	2	8.40456270790432
CURTIS_H004175	CURTIS_H004175_T01_01_WG01	8	9.74690521179741
CURTIS_H004177	CURTIS_H004177_T01_01_WG01	7	8.67332660356946
CURTIS_H004178	CURTIS_H004178_T01_01_WG01	6	10.3089043478832
