Freq	Experiment	code
1	complex	c
0	complex	c
24	complex	c
-11	complex	c
36	complex	c
-7	complex	c
6	complex	c
79	complex	c
6	complex	c
-52	complex	c
45	complex	c
106	complex	c
16	complex	c
57	complex	c
-1	complex	c
-3	complex	c
4	complex	c
95	complex	c
-17	complex	c
9	complex	c
58	complex	c
-5	complex	c
-2	complex	c
-13	complex	c
12	complex	c
22	complex	c
-6	complex	c
22	complex	c
29	complex	c
100	complex	c
8	complex	c
-3	complex	c
22	complex	c
39	complex	c
-3	complex	c
-2	complex	c
-2	complex	c
52	complex	c
15	complex	c
14	complex	c
-12	complex	c
16	complex_baseline	d
27	complex_baseline	d
-37	complex_baseline	d
-8	complex_baseline	d
27	complex_baseline	d
23	complex_baseline	d
10	complex_baseline	d
51	complex_baseline	d
-41	complex_baseline	d
19	complex_baseline	d
24	complex_baseline	d
-30	complex_baseline	d
3	complex_baseline	d
-38	complex_baseline	d
24	complex_baseline	d
57	complex_baseline	d
24	complex_baseline	d
0	complex_baseline	d
10	complex_baseline	d
-43	complex_baseline	d
19	complex_baseline	d
-12	complex_baseline	d
-10	complex_baseline	d
-26	complex_baseline	d
0	complex_baseline	d
53	complex_baseline	d
-33	complex_baseline	d
-4	complex_baseline	d
-5	complex_baseline	d
7	complex_baseline	d
7	complex_baseline	d
-4	complex_baseline	d
50	complex_baseline	d
-13	complex_baseline	d
9	complex_baseline	d
28	complex_baseline	d
12	complex_baseline	d
-6	complex_baseline	d
26	complex_baseline	d
6	complex_baseline	d
2	complex_baseline	d
-3	complex_baseline	d
-1	complex_baseline	d
25	complex_baseline	d
14	complex_baseline	d
52	complex_baseline	d
2	complex_baseline	d
8	complex_baseline	d
1	complex_baseline	d
-2	complex_baseline	d
47	complex_baseline	d
9	complex_baseline	d
43	complex_baseline	d
-8	complex_baseline	d
18	complex_baseline	d
-10	complex_baseline	d
55	complex_baseline	d
-65	complex_baseline	d
7	complex_baseline	d
58	complex_baseline	d
2	complex_baseline	d
11	complex_baseline	d
6	complex_baseline	d
35	complex_baseline	d
20	complex_baseline	d
-3	complex_baseline	d
47	complex_baseline	d
37	complex_baseline	d
19	complex_baseline	d
3	complex_baseline	d
49	complex_baseline	d
6	complex_baseline	d
12	complex_baseline	d
13	complex_baseline	d
11	complex_baseline	d
52	complex_baseline	d
16	complex_baseline	d
