Sample	Subtype	Cohort	Cell type	Proportion
TCGA-AN-A04D	IC10	TCGA	CAFs	0.0355059161622189
TCGA-AN-A04D	IC10	TCGA	T-cells	0.108418503069673
TCGA-AN-A0AL	IC4ER-	TCGA	CAFs	0.317305198737367
TCGA-AN-A0AL	IC4ER-	TCGA	T-cells	0.19355810101461
TCGA-AN-A0AR	IC10	TCGA	CAFs	0.0818379323010426
TCGA-AN-A0AR	IC10	TCGA	T-cells	0.0850187336326318
TCGA-AN-A0AT	IC10	TCGA	CAFs	0.160842547442784
TCGA-AN-A0AT	IC10	TCGA	T-cells	0.259878737127646
TCGA-AN-A0FJ	IC10	TCGA	CAFs	0.168605467980667
TCGA-AN-A0FJ	IC10	TCGA	T-cells	0.180216432826301
TCGA-AN-A0FX	IC10	TCGA	CAFs	0.288371925357719
TCGA-AN-A0FX	IC10	TCGA	T-cells	0.094538261142984
TCGA-AN-A0FY	IC10	TCGA	CAFs	0.376417365341795
TCGA-AN-A0FY	IC10	TCGA	T-cells	0.0357766730690796
TCGA-AN-A0XN	IC4ER-	TCGA	CAFs	0.550545401288327
TCGA-AN-A0XN	IC4ER-	TCGA	T-cells	0.0777297525396981
TCGA-AN-A0XU	IC10	TCGA	CAFs	0.100225739350574
TCGA-AN-A0XU	IC10	TCGA	T-cells	0.0262572103047017
TCGA-AO-A0J2	IC10	TCGA	CAFs	0.120092201678442
TCGA-AO-A0J2	IC10	TCGA	T-cells	0
TCGA-AO-A0J4	IC10	TCGA	CAFs	0.136891008986842
TCGA-AO-A0J4	IC10	TCGA	T-cells	0.0791973432872708
TCGA-AO-A0J6	IC10	TCGA	CAFs	0.0651706616896395
TCGA-AO-A0J6	IC10	TCGA	T-cells	0.0279002720407324
TCGA-AO-A0JD	IC10	TCGA	CAFs	0.0483282560742651
TCGA-AO-A0JD	IC10	TCGA	T-cells	0.0689459646675677
TCGA-AO-A124	IC10	TCGA	CAFs	0.0517081996197197
TCGA-AO-A124	IC10	TCGA	T-cells	0.125660008579027
TCGA-AO-A128	IC10	TCGA	CAFs	0.0586367148661274
TCGA-AO-A128	IC10	TCGA	T-cells	0.26225915646529
TCGA-AO-A12F	IC10	TCGA	CAFs	0.239629255221574
TCGA-AO-A12F	IC10	TCGA	T-cells	0.133107261803348
TCGA-AO-A1KR	IC10	TCGA	CAFs	0.0332756441118685
TCGA-AO-A1KR	IC10	TCGA	T-cells	0.10497118390493
TCGA-AQ-A04J	IC10	TCGA	CAFs	0.127913072163904
TCGA-AQ-A04J	IC10	TCGA	T-cells	0.158122827565465
TCGA-AQ-A54N	IC10	TCGA	CAFs	0
TCGA-AQ-A54N	IC10	TCGA	T-cells	0.0580844195037626
TCGA-AR-A0TP	IC10	TCGA	CAFs	0.0451686819475222
TCGA-AR-A0TP	IC10	TCGA	T-cells	0.089658265017946
TCGA-AR-A0TS	IC10	TCGA	CAFs	0.202411439772416
TCGA-AR-A0TS	IC10	TCGA	T-cells	0.172559548355926
TCGA-AR-A0TU	IC10	TCGA	CAFs	0.0395483352447335
TCGA-AR-A0TU	IC10	TCGA	T-cells	0.113993211037067
TCGA-AR-A0U0	IC10	TCGA	CAFs	0.110483741253334
TCGA-AR-A0U0	IC10	TCGA	T-cells	0.0793503040688572
TCGA-AR-A1AH	IC10	TCGA	CAFs	0.231515289632009
TCGA-AR-A1AH	IC10	TCGA	T-cells	0.161977351792009
TCGA-AR-A1AI	IC10	TCGA	CAFs	0.0491070746449248
TCGA-AR-A1AI	IC10	TCGA	T-cells	0.136616330768893
TCGA-AR-A1AJ	IC10	TCGA	CAFs	0.202735549966517
TCGA-AR-A1AJ	IC10	TCGA	T-cells	0.16133133865557
