Sample	Subtype	Cohort	Cell type	Proportion
MB-0500	IC10	METABRIC	T-cells	0.0407404530921814
MB-0206	IC10	METABRIC	CAFs	0.191150861711117
MB-0206	IC10	METABRIC	T-cells	0.164336880739371
MB-0581	IC4ER-	METABRIC	CAFs	0.18316615036696
MB-0581	IC4ER-	METABRIC	T-cells	0.00151783511472318
MB-0613	IC4ER-	METABRIC	CAFs	0.158642857171841
MB-0613	IC4ER-	METABRIC	T-cells	0.0393218505451232
MB-0214	IC10	METABRIC	CAFs	0.0838867321619362
MB-0214	IC10	METABRIC	T-cells	0.0952042995270437
MB-0664	IC10	METABRIC	CAFs	0.0874507100182707
MB-0664	IC10	METABRIC	T-cells	0.0585773850327219
MB-0446	IC10	METABRIC	CAFs	0.194653332440861
MB-0446	IC10	METABRIC	T-cells	0.0821868270092476
MB-0424	IC4ER-	METABRIC	CAFs	0.391895064217127
MB-0424	IC4ER-	METABRIC	T-cells	0.0361526543675004
MB-0115	IC10	METABRIC	CAFs	0.146771084626233
MB-0115	IC10	METABRIC	T-cells	0.122106111362993
MB-0354	IC4ER-	METABRIC	CAFs	0.184521122764857
MB-0354	IC4ER-	METABRIC	T-cells	0.191880925196465
MB-0608	IC10	METABRIC	CAFs	0.122113304224804
MB-0608	IC10	METABRIC	T-cells	0.0610607793889038
MB-0481	IC10	METABRIC	CAFs	0.21870363089739
MB-0481	IC10	METABRIC	T-cells	0.0985446622835831
MB-0238	IC4ER-	METABRIC	CAFs	0.108183935652099
MB-0238	IC4ER-	METABRIC	T-cells	0.193473343800783
MB-0482	IC4ER-	METABRIC	CAFs	0.170327619525348
MB-0482	IC4ER-	METABRIC	T-cells	0.0523887904581717
MB-0525	IC10	METABRIC	CAFs	0.254344278631898
MB-0525	IC10	METABRIC	T-cells	0.0270486937252672
MB-0869	IC10	METABRIC	CAFs	0.146148511009538
MB-0869	IC10	METABRIC	T-cells	0.0878381502744173
MB-4622	IC10	METABRIC	CAFs	0.162218748155356
MB-4622	IC10	METABRIC	T-cells	0.129534292865989
MB-4640	IC4ER-	METABRIC	CAFs	0.261432316069602
MB-4640	IC4ER-	METABRIC	T-cells	0.0470306560326032
MB-4770	IC10	METABRIC	CAFs	0.159451333925476
MB-4770	IC10	METABRIC	T-cells	0.104142507904004
MB-4757	IC10	METABRIC	CAFs	0.122114677400511
MB-4757	IC10	METABRIC	T-cells	0.102291639901333
MB-5281	IC10	METABRIC	CAFs	0.310922853302982
MB-5281	IC10	METABRIC	T-cells	0
MB-5323	IC4ER-	METABRIC	CAFs	0.190643288747302
MB-5323	IC4ER-	METABRIC	T-cells	0.227718155453276
MB-4911	IC4ER-	METABRIC	CAFs	0.0884727889974943
MB-4911	IC4ER-	METABRIC	T-cells	0.0938391442641465
MB-4888	IC10	METABRIC	CAFs	0.231968849019586
MB-4888	IC10	METABRIC	T-cells	0.0663124576357539
MB-5072	IC4ER-	METABRIC	CAFs	0.206728075028959
MB-5072	IC4ER-	METABRIC	T-cells	0.01904638148887
MB-5115	IC10	METABRIC	CAFs	0.143136515864006
MB-5115	IC10	METABRIC	T-cells	0.0660022943829815
MB-4733	IC4ER-	METABRIC	CAFs	0.132202259649146
MB-4733	IC4ER-	METABRIC	T-cells	0.171950778290305
MB-4732	IC10	METABRIC	CAFs	0.104288791343352
MB-4732	IC10	METABRIC	T-cells	0.125691417314273
MB-5236	IC10	METABRIC	CAFs	0.0327005601208169
MB-5236	IC10	METABRIC	T-cells	0.127670520208043
MB-4993	IC4ER-	METABRIC	CAFs	0.216562605541649
MB-4993	IC4ER-	METABRIC	T-cells	0.0301939140501699
MB-5222	IC4ER-	METABRIC	CAFs	0.107592529871876
MB-5222	IC4ER-	METABRIC	T-cells	0.203227818067737
MB-5232	IC10	METABRIC	CAFs	0.155734621976665
MB-5232	IC10	METABRIC	T-cells	0.0681250767625977
MB-4952	IC4ER-	METABRIC	CAFs	0.164081469056317
MB-4952	IC4ER-	METABRIC	T-cells	0.141553067491849
MB-4938	IC10	METABRIC	CAFs	0.242217197410951
MB-4938	IC10	METABRIC	T-cells	0.0371048783059575
MB-5070	IC10	METABRIC	CAFs	0.175225784315044
MB-5070	IC10	METABRIC	T-cells	0.0757196156064082
MB-4763	IC4ER-	METABRIC	CAFs	0.085746792202253
MB-4763	IC4ER-	METABRIC	T-cells	0.0592517948218155
MB-5019	IC10	METABRIC	CAFs	0.165995555314236
MB-5019	IC10	METABRIC	T-cells	0.0429360267108911
MB-5392	IC4ER-	METABRIC	CAFs	0.273228834526825
MB-5392	IC4ER-	METABRIC	T-cells	0.116991097431503
MB-5138	IC10	METABRIC	CAFs	0.0647225382804962
MB-5138	IC10	METABRIC	T-cells	0.142587771739999
MB-5065	IC10	METABRIC	CAFs	0.195088043254342
MB-5065	IC10	METABRIC	T-cells	0.197799104326431
MB-5258	IC10	METABRIC	CAFs	0.156589656732073
MB-5258	IC10	METABRIC	T-cells	0.0429331254656252
MB-5421	IC10	METABRIC	CAFs	0.213542508139522
MB-5421	IC10	METABRIC	T-cells	0.0928030935138342
MB-5348	IC4ER-	METABRIC	CAFs	0.139297298549157
MB-5348	IC4ER-	METABRIC	T-cells	0.172019964524779
MB-5409	IC4ER-	METABRIC	CAFs	0.157194967051472
MB-5409	IC4ER-	METABRIC	T-cells	0.100269436664477
MB-5299	IC10	METABRIC	CAFs	0.134191547180424
MB-5299	IC10	METABRIC	T-cells	0.0845009578862927
MB-5100	IC4ER-	METABRIC	CAFs	0.14730117859943
MB-5100	IC4ER-	METABRIC	T-cells	0.191666616780508
MB-5381	IC4ER-	METABRIC	CAFs	0.208588190563967
MB-5381	IC4ER-	METABRIC	T-cells	0.0624670495024086
MB-4809	IC10	METABRIC	CAFs	0.103616757762288
MB-4809	IC10	METABRIC	T-cells	0.0842770710200264
MB-5446	IC4ER-	METABRIC	CAFs	0.243906827732562
MB-5446	IC4ER-	METABRIC	T-cells	0.05070587674837
MB-5442	IC10	METABRIC	CAFs	0.178508812899289
MB-5442	IC10	METABRIC	T-cells	0.0667117931920801
MB-5390	IC10	METABRIC	CAFs	0.113330453842403
MB-5390	IC10	METABRIC	T-cells	0.0540044262645811
MB-5209	IC4ER-	METABRIC	CAFs	0.112595659740737
MB-5209	IC4ER-	METABRIC	T-cells	0.174190276273354
MB-5213	IC4ER-	METABRIC	CAFs	0.138046639113591
MB-5213	IC4ER-	METABRIC	T-cells	0.0516054770688589
MB-5616	IC10	METABRIC	CAFs	0.161948376549767
MB-5616	IC10	METABRIC	T-cells	0.202251233562798
MB-5602	IC10	METABRIC	CAFs	0.104573110158219
MB-5602	IC10	METABRIC	T-cells	0.131496106060608
MB-5634	IC10	METABRIC	CAFs	0.108648375622714
MB-5634	IC10	METABRIC	T-cells	0.150691396905979
MB-5651	IC10	METABRIC	CAFs	0.300454436172705
MB-5651	IC10	METABRIC	T-cells	0.113592374499488
MB-5548	IC10	METABRIC	CAFs	0.184730051991883
MB-5548	IC10	METABRIC	T-cells	0.115232355271332
MB-5526	IC10	METABRIC	CAFs	0.160448717864223
MB-5526	IC10	METABRIC	T-cells	0.12711294622824
MB-5531	IC10	METABRIC	CAFs	0.25728629852502
MB-5531	IC10	METABRIC	T-cells	0.0903318234421128
MB-5468	IC10	METABRIC	CAFs	0.229871875614944
MB-5468	IC10	METABRIC	T-cells	0.0813776894406474
MB-5551	IC10	METABRIC	CAFs	0.166188090026437
MB-5551	IC10	METABRIC	T-cells	0.033764030633102
MB-5529	IC10	METABRIC	CAFs	0.172570371844227
MB-5529	IC10	METABRIC	T-cells	0.087268688890417
MB-4408	IC10	METABRIC	CAFs	0.118574104568611
MB-4408	IC10	METABRIC	T-cells	0.157594643264868
MB-4146	IC4ER-	METABRIC	CAFs	0.042178306041871
MB-4146	IC4ER-	METABRIC	T-cells	0.312324390175687
MB-5511	IC10	METABRIC	CAFs	0.199339750662078
MB-5511	IC10	METABRIC	T-cells	0.0439404374175634
MB-5294	IC4ER-	METABRIC	CAFs	0.110794648285828
MB-5294	IC4ER-	METABRIC	T-cells	0.0934998699453989
MB-5565	IC10	METABRIC	CAFs	0.156203176655984
MB-5565	IC10	METABRIC	T-cells	0.201249154003662
MB-2957	IC10	METABRIC	CAFs	0.171958519102636
MB-2957	IC10	METABRIC	T-cells	0.0877493943501148
MB-3063	IC10	METABRIC	CAFs	0.231358584416339
MB-3063	IC10	METABRIC	T-cells	0.0535036712319039
MB-3046	IC10	METABRIC	CAFs	0.295381847531002
MB-3046	IC10	METABRIC	T-cells	0.0699703862117619
MB-3067	IC10	METABRIC	CAFs	0.10516457046545
MB-3067	IC10	METABRIC	T-cells	0.227140061806228
MB-3367	IC4ER-	METABRIC	CAFs	0.109748171211383
MB-3367	IC4ER-	METABRIC	T-cells	0.189507004943753
MB-3329	IC10	METABRIC	CAFs	0.144384083849787
MB-3329	IC10	METABRIC	T-cells	0.0714090106351726
MB-2753	IC10	METABRIC	CAFs	0.257956518605318
MB-2753	IC10	METABRIC	T-cells	0.0702716147374027
MB-3014	IC10	METABRIC	CAFs	0.12333731429033
MB-3014	IC10	METABRIC	T-cells	0.131944092248248
MB-3476	IC10	METABRIC	CAFs	0.119571988855766
MB-3476	IC10	METABRIC	T-cells	0.258222035999311
MB-3277	IC10	METABRIC	CAFs	0.148285174189105
MB-3277	IC10	METABRIC	T-cells	0.130934562456468
MB-3271	IC10	METABRIC	CAFs	0.141607845858132
MB-3271	IC10	METABRIC	T-cells	0.132918770113004
MB-3292	IC4ER-	METABRIC	CAFs	0.152805502749742
MB-3292	IC4ER-	METABRIC	T-cells	0.133094017187846
MB-2922	IC4ER-	METABRIC	CAFs	0.198284475903147
MB-2922	IC4ER-	METABRIC	T-cells	0.0615368935479795
MB-2917	IC10	METABRIC	CAFs	0.160680939642892
MB-2917	IC10	METABRIC	T-cells	0.10336541271577
MB-3706	IC10	METABRIC	CAFs	0.128917069986076
MB-3706	IC10	METABRIC	T-cells	0.0789447906567392
MB-3453	IC10	METABRIC	CAFs	0.177183898294761
MB-3453	IC10	METABRIC	T-cells	0.0446031845288427
MB-2842	IC10	METABRIC	CAFs	0.129451292740821
MB-2842	IC10	METABRIC	T-cells	0.0901473828139979
MB-2912	IC10	METABRIC	CAFs	0.176578042560145
MB-2912	IC10	METABRIC	T-cells	0.154363261143753
MB-3058	IC10	METABRIC	CAFs	0.32281872036936
MB-3058	IC10	METABRIC	T-cells	0.0549767798169582
MB-3057	IC10	METABRIC	CAFs	0.0678695481687273
MB-3057	IC10	METABRIC	T-cells	0.083364566655809
MB-3395	IC10	METABRIC	CAFs	0.183837512700162
MB-3395	IC10	METABRIC	T-cells	0.17292012830585
MB-2857	IC10	METABRIC	CAFs	0.211117892328968
MB-2857	IC10	METABRIC	T-cells	0.235727638407085
MB-2827	IC10	METABRIC	CAFs	0.152630832236862
MB-2827	IC10	METABRIC	T-cells	0.130215764770669
MB-3702	IC10	METABRIC	CAFs	0.204888866209734
MB-3702	IC10	METABRIC	T-cells	0.142177526355164
MB-3502	IC10	METABRIC	CAFs	0.176175240907428
MB-3502	IC10	METABRIC	T-cells	0.0872756944296987
MB-3567	IC10	METABRIC	CAFs	0.217903568346605
MB-3567	IC10	METABRIC	T-cells	0.136569968825484
MB-0476	IC4ER-	METABRIC	CAFs	0.219360966645825
MB-0476	IC4ER-	METABRIC	T-cells	0.221381110892029
MB-0079	IC10	METABRIC	CAFs	0.153772361233172
MB-0079	IC10	METABRIC	T-cells	0.103759922244056
MB-0062	IC10	METABRIC	CAFs	0.019598265581885
MB-0062	IC10	METABRIC	T-cells	0.118310585920049
MB-4711	IC4ER-	METABRIC	CAFs	0.132010486607798
MB-4711	IC4ER-	METABRIC	T-cells	0.161487121427354
MB-4015	IC4ER-	METABRIC	CAFs	0.150498286118119
MB-4015	IC4ER-	METABRIC	T-cells	0.00940963502368693
MB-2929	IC10	METABRIC	CAFs	0.247307853639879
MB-2929	IC10	METABRIC	T-cells	0.0721439944887785
MB-2724	IC4ER-	METABRIC	CAFs	0.0177381683562444
MB-2724	IC4ER-	METABRIC	T-cells	0.452920187109965
MB-3062	IC10	METABRIC	CAFs	0.221546759775458
MB-3062	IC10	METABRIC	T-cells	0.115843971057109
MB-4707	IC10	METABRIC	CAFs	0.153677448873628
MB-4707	IC10	METABRIC	T-cells	0.0882107557054941
MB-3383	IC10	METABRIC	CAFs	0.325267102485568
MB-3383	IC10	METABRIC	T-cells	0.0644779093529613
MB-3297	IC10	METABRIC	CAFs	0.124707364976165
MB-3297	IC10	METABRIC	T-cells	0.102917643098499
MB-7114	IC10	METABRIC	CAFs	0.0973949587371332
MB-7114	IC10	METABRIC	T-cells	0.124961079000662
MB-7208	IC10	METABRIC	CAFs	0.0511064449237317
MB-7208	IC10	METABRIC	T-cells	0.174606054394792
MB-7187	IC4ER-	METABRIC	CAFs	0.122201827500536
MB-7187	IC4ER-	METABRIC	T-cells	0.0759280368462669
MB-3001	IC10	METABRIC	CAFs	0.141311303960605
MB-3001	IC10	METABRIC	T-cells	0.115836913611851
MB-7066	IC10	METABRIC	CAFs	0.174852999185742
MB-7066	IC10	METABRIC	T-cells	0.0382650687532643
MB-7057	IC4ER-	METABRIC	CAFs	0.190374615656877
MB-7057	IC4ER-	METABRIC	T-cells	0.0597336005125746
MB-7023	IC10	METABRIC	CAFs	0.201022569834877
MB-7023	IC10	METABRIC	T-cells	0.115556425252872
MB-7017	IC10	METABRIC	CAFs	0.184195712243096
MB-7017	IC10	METABRIC	T-cells	0.114802435703766
MB-3500	IC4ER-	METABRIC	CAFs	0.051243862649039
MB-3500	IC4ER-	METABRIC	T-cells	0.132444047885973
MB-3396	IC10	METABRIC	CAFs	0.206855952465851
MB-3396	IC10	METABRIC	T-cells	0.0264075318222104
MB-7145	IC10	METABRIC	CAFs	0.0965648829213804
MB-7145	IC10	METABRIC	T-cells	0.0556626303862874
MB-7155	IC10	METABRIC	CAFs	0.100525695380897
MB-7155	IC10	METABRIC	T-cells	0.154212274083044
MB-3218	IC10	METABRIC	CAFs	0.170859834111942
MB-3218	IC10	METABRIC	T-cells	0.135725642840024
MB-7270	IC10	METABRIC	CAFs	0.157492170825382
MB-7270	IC10	METABRIC	T-cells	0.125213327510547
MB-7269	IC10	METABRIC	CAFs	0.0759433194057917
MB-7269	IC10	METABRIC	T-cells	0.135007274498114
MB-2895	IC4ER-	METABRIC	CAFs	0.223479040953109
MB-2895	IC4ER-	METABRIC	T-cells	0.125125755154984
MB-7008	IC4ER-	METABRIC	CAFs	0.254598633174462
MB-7008	IC4ER-	METABRIC	T-cells	0.0671594655995938
MB-7007	IC4ER-	METABRIC	CAFs	0.118064979297136
MB-7007	IC4ER-	METABRIC	T-cells	0.0732726680516578
MB-7009	IC10	METABRIC	CAFs	0.216720027066841
MB-7009	IC10	METABRIC	T-cells	0.0903053185999235
MB-3153	IC10	METABRIC	CAFs	0.150609086571881
MB-3153	IC10	METABRIC	T-cells	0.0583881257916823
MB-3211	IC10	METABRIC	CAFs	0.193581945729017
MB-3211	IC10	METABRIC	T-cells	0.132443670598863
MB-7081	IC4ER-	METABRIC	CAFs	0.100848535897811
MB-7081	IC4ER-	METABRIC	T-cells	0.202317480502537
MB-7121	IC4ER-	METABRIC	CAFs	0.137022545158476
MB-7121	IC4ER-	METABRIC	T-cells	0.226978506598222
MB-3582	IC4ER-	METABRIC	CAFs	0.217126139182434
MB-3582	IC4ER-	METABRIC	T-cells	0.06506139010296
MB-2771	IC10	METABRIC	CAFs	0.181873541427276
MB-2771	IC10	METABRIC	T-cells	0.0522237447444184
MB-7158	IC4ER-	METABRIC	CAFs	0.23077780405682
MB-7158	IC4ER-	METABRIC	T-cells	0.1374001516338
MB-7258	IC10	METABRIC	CAFs	0.0405178448832298
MB-7258	IC10	METABRIC	T-cells	0.0316459814371598
MB-3031	IC4ER-	METABRIC	CAFs	0.0777754985303205
MB-3031	IC4ER-	METABRIC	T-cells	0.152688387084771
MB-2904	IC10	METABRIC	CAFs	0.101465942764335
MB-2904	IC10	METABRIC	T-cells	0.150695651180827
MB-7154	IC10	METABRIC	CAFs	0.104261434422459
MB-7154	IC10	METABRIC	T-cells	0.20164140512242
MB-7151	IC10	METABRIC	CAFs	0.0973752814929522
MB-7151	IC10	METABRIC	T-cells	0.0464104301567404
MB-7165	IC10	METABRIC	CAFs	0.0353566504979543
MB-7165	IC10	METABRIC	T-cells	0.117929178940976
MB-2721	IC4ER-	METABRIC	CAFs	0.18977351447761
MB-2721	IC4ER-	METABRIC	T-cells	0.0222897760824148
MB-2821	IC4ER-	METABRIC	CAFs	0.457950399677025
MB-2821	IC4ER-	METABRIC	T-cells	0.120504957144722
MB-2850	IC4ER-	METABRIC	CAFs	0.182811684554168
MB-2850	IC4ER-	METABRIC	T-cells	0.25703441650578
MB-7273	IC4ER-	METABRIC	CAFs	0.0730768669903686
MB-7273	IC4ER-	METABRIC	T-cells	0.0496134221660755
MB-7250	IC4ER-	METABRIC	CAFs	0.188594705194763
MB-7250	IC4ER-	METABRIC	T-cells	0.12617311708254
MB-7267	IC10	METABRIC	CAFs	0.0891670711337524
MB-7267	IC10	METABRIC	T-cells	0.0544351985518844
MB-2833	IC4ER-	METABRIC	CAFs	0.086269943258413
MB-2833	IC4ER-	METABRIC	T-cells	0.253786407470347
MB-7084	IC10	METABRIC	CAFs	0.105312731042143
MB-7084	IC10	METABRIC	T-cells	0.117088508269594
MB-7090	IC10	METABRIC	CAFs	0.207650878988208
MB-7090	IC10	METABRIC	T-cells	0.03542364319931
MB-7087	IC10	METABRIC	CAFs	0.0665105183865453
MB-7087	IC10	METABRIC	T-cells	0.119501104736746
MB-7025	IC4ER-	METABRIC	CAFs	0.330444996747093
MB-7025	IC4ER-	METABRIC	T-cells	0.143002679593454
MB-7036	IC10	METABRIC	CAFs	0.107459968186866
MB-7036	IC10	METABRIC	T-cells	0.0992684480933315
MB-4769	IC10	METABRIC	CAFs	0.127867943436979
MB-4769	IC10	METABRIC	T-cells	0.0493199918022247
MB-4793	IC10	METABRIC	CAFs	0.148672063583661
MB-4793	IC10	METABRIC	T-cells	0.121220149903154
MB-4679	IC10	METABRIC	CAFs	0.0531416841122869
MB-4679	IC10	METABRIC	T-cells	0.227802895995942
MB-4660	IC10	METABRIC	CAFs	0.100367244920536
MB-4660	IC10	METABRIC	T-cells	0.118932531836949
MB-2718	IC10	METABRIC	CAFs	0.0972766074155821
MB-2718	IC10	METABRIC	T-cells	0.130027758619614
MB-2643	IC4ER-	METABRIC	CAFs	0.264404890732568
MB-2643	IC4ER-	METABRIC	T-cells	0.0954966999992376
MB-6248	IC10	METABRIC	CAFs	0.128707932848026
MB-6248	IC10	METABRIC	T-cells	0.106603555091781
MB-6223	IC10	METABRIC	CAFs	0.121226441741903
MB-6223	IC10	METABRIC	T-cells	0.133227491285738
MB-6188	IC10	METABRIC	CAFs	0.0716315263194935
MB-6188	IC10	METABRIC	T-cells	0.187435916907785
MB-6228	IC4ER-	METABRIC	CAFs	0.212631203822569
MB-6228	IC4ER-	METABRIC	T-cells	0.196155196461391
MB-6280	IC10	METABRIC	CAFs	0.0816554778885004
MB-6280	IC10	METABRIC	T-cells	0.0991148949969159
MB-6098	IC10	METABRIC	CAFs	0.107095390202717
MB-6098	IC10	METABRIC	T-cells	0.0441008813645927
MB-4548	IC4ER-	METABRIC	CAFs	0.00723079441624141
MB-4548	IC4ER-	METABRIC	T-cells	0.200743721408606
MB-4974	IC10	METABRIC	CAFs	0.155736528419186
MB-4974	IC10	METABRIC	T-cells	0.124428631821327
MB-4696	IC10	METABRIC	CAFs	0.191727399670043
MB-4696	IC10	METABRIC	T-cells	0.0939970376613977
MB-4714	IC10	METABRIC	CAFs	0.0711439665538474
MB-4714	IC10	METABRIC	T-cells	0.0899393320327531
MB-4881	IC10	METABRIC	CAFs	0.1610088764015
MB-4881	IC10	METABRIC	T-cells	0.0714141598031359
MB-4904	IC4ER-	METABRIC	CAFs	0.133821576852685
MB-4904	IC4ER-	METABRIC	T-cells	0.255999544100332
MB-4865	IC10	METABRIC	CAFs	0.249783359012563
MB-4865	IC10	METABRIC	T-cells	0.092705496262667
MB-4416	IC4ER-	METABRIC	CAFs	0.231579766291964
MB-4416	IC4ER-	METABRIC	T-cells	0.151634341090198
MB-4407	IC10	METABRIC	CAFs	0.162812383724031
MB-4407	IC10	METABRIC	T-cells	0.0526640689724504
MB-4254	IC10	METABRIC	CAFs	0.0583041111410881
MB-4254	IC10	METABRIC	T-cells	0.147976772076129
MB-4621	IC10	METABRIC	CAFs	0.0808579022624603
MB-4621	IC10	METABRIC	T-cells	0.0477216413330552
MB-4893	IC4ER-	METABRIC	CAFs	0.165796952662049
MB-4893	IC4ER-	METABRIC	T-cells	0.183095848073633
MB-4942	IC10	METABRIC	CAFs	0.119804476811275
MB-4942	IC10	METABRIC	T-cells	0.270284515791075
MB-4792	IC10	METABRIC	CAFs	0.286646175681207
MB-4792	IC10	METABRIC	T-cells	0.0487794951143805
MB-5008	IC10	METABRIC	CAFs	0.0674919844814612
MB-5008	IC10	METABRIC	T-cells	0.0129359788744488
MB-6059	IC4ER-	METABRIC	CAFs	0.228505594071959
MB-6059	IC4ER-	METABRIC	T-cells	0.134379119938451
MB-6152	IC10	METABRIC	CAFs	0.154291559959689
MB-6152	IC10	METABRIC	T-cells	0.135574256526135
MB-5295	IC10	METABRIC	CAFs	0.278289816246397
MB-5295	IC10	METABRIC	T-cells	0.0363543667286123
MB-6068	IC10	METABRIC	CAFs	0.195327144946897
MB-6068	IC10	METABRIC	T-cells	0.0657972418886707
MB-6058	IC10	METABRIC	CAFs	0.150875564813629
MB-6058	IC10	METABRIC	T-cells	0.132284573791851
MB-6052	IC4ER-	METABRIC	CAFs	0.237789971253731
MB-6052	IC4ER-	METABRIC	T-cells	0.13075717263112
MB-5335	IC10	METABRIC	CAFs	0.117679489780522
MB-5335	IC10	METABRIC	T-cells	0.0273808077155758
MB-5135	IC10	METABRIC	CAFs	0.0577808147015465
MB-5135	IC10	METABRIC	T-cells	0.0473718172224463
MB-4880	IC10	METABRIC	CAFs	0.0672990188256662
MB-4880	IC10	METABRIC	T-cells	0.111503767673623
MB-5054	IC4ER-	METABRIC	CAFs	0.144250171039122
MB-5054	IC4ER-	METABRIC	T-cells	0.119739234797999
MB-5057	IC10	METABRIC	CAFs	0.158723807031439
MB-5057	IC10	METABRIC	T-cells	0.0587247675124938
MB-5102	IC10	METABRIC	CAFs	0.110332825897508
MB-5102	IC10	METABRIC	T-cells	0.0646843407151562
MB-6272	IC10	METABRIC	CAFs	0.212868417700322
MB-6272	IC10	METABRIC	T-cells	0.0963242446632061
MB-6245	IC10	METABRIC	CAFs	0.175242660252313
MB-6245	IC10	METABRIC	T-cells	0.11235196460541
MB-4303	IC10	METABRIC	CAFs	0.114764086201348
MB-4303	IC10	METABRIC	T-cells	0.0752299496197183
MB-6055	IC4ER-	METABRIC	CAFs	0.101362687731482
MB-6055	IC4ER-	METABRIC	T-cells	0.159905380334563
MB-6131	IC10	METABRIC	CAFs	0.16790966764679
MB-6131	IC10	METABRIC	T-cells	0.062834445587213
MB-6160	IC4ER-	METABRIC	CAFs	0.140158722227275
MB-6160	IC4ER-	METABRIC	T-cells	0.110506013180664
MB-6336	IC4ER-	METABRIC	CAFs	0.157487322353432
MB-6336	IC4ER-	METABRIC	T-cells	0.153521923886619
MB-4351	IC10	METABRIC	CAFs	0.095293624254307
MB-4351	IC10	METABRIC	T-cells	0.130896195426977
MB-5208	IC10	METABRIC	CAFs	0.124618056965701
MB-5208	IC10	METABRIC	T-cells	0.068843206439059
MB-5440	IC10	METABRIC	CAFs	0.156694168247835
MB-5440	IC10	METABRIC	T-cells	0.217234526961603
MB-5298	IC10	METABRIC	CAFs	0.0933287061684863
MB-5298	IC10	METABRIC	T-cells	0.15359361112907
MB-5346	IC10	METABRIC	CAFs	0.0545799226680262
MB-5346	IC10	METABRIC	T-cells	0.104331847406657
MB-6178	IC10	METABRIC	CAFs	0.20930568024667
MB-6178	IC10	METABRIC	T-cells	0.081534999743839
MB-6062	IC10	METABRIC	CAFs	0.0788104155398687
MB-6062	IC10	METABRIC	T-cells	0.279343606424572
MB-4417	IC4ER-	METABRIC	CAFs	0.0768451274059119
MB-4417	IC4ER-	METABRIC	T-cells	0.138936117879601
MB-4332	IC10	METABRIC	CAFs	0.0526963863416015
MB-4332	IC10	METABRIC	T-cells	0.12561735605938
MB-7205	IC10	METABRIC	CAFs	0.15870539850561
MB-7205	IC10	METABRIC	T-cells	0.116273881025254
MB-0391	IC4ER-	METABRIC	CAFs	0.127876161709141
MB-0391	IC4ER-	METABRIC	T-cells	0.242791291795017
MB-5225	IC4ER-	METABRIC	CAFs	0.154893013812845
MB-5225	IC4ER-	METABRIC	T-cells	0.155866840268623
MB-4024	IC10	METABRIC	CAFs	0.0973771064059597
MB-4024	IC10	METABRIC	T-cells	0.0601097439885974
MB-6242	IC10	METABRIC	CAFs	0.118108738129473
MB-6242	IC10	METABRIC	T-cells	0.133962533234102
MB-6237	IC10	METABRIC	CAFs	0.184539286618526
MB-6237	IC10	METABRIC	T-cells	0.0784347356762623
MB-5154	IC4ER-	METABRIC	CAFs	0.203914458114554
MB-5154	IC4ER-	METABRIC	T-cells	0.0937354162164684
MB-5173	IC10	METABRIC	CAFs	0.194353459373392
MB-5173	IC10	METABRIC	T-cells	0.0431330323001937
MB-5162	IC4ER-	METABRIC	CAFs	0.320848657348678
MB-5162	IC4ER-	METABRIC	T-cells	0.0265271667037108
MB-5235	IC10	METABRIC	CAFs	0.0801910091003587
MB-5235	IC10	METABRIC	T-cells	0.0413558790135936
MB-4931	IC4ER-	METABRIC	CAFs	0.113915776399413
MB-4931	IC4ER-	METABRIC	T-cells	0.311195562122799
MB-7045	IC4ER-	METABRIC	CAFs	0.114677161381147
MB-7045	IC4ER-	METABRIC	T-cells	0.0927064957101022
MB-7049	IC4ER-	METABRIC	CAFs	0.0646384794179251
MB-7049	IC4ER-	METABRIC	T-cells	0.0935452351442875
MB-7031	IC10	METABRIC	CAFs	0.0313523776324968
MB-7031	IC10	METABRIC	T-cells	0.102173784914398
MB-7078	IC4ER-	METABRIC	CAFs	0.195173745477805
MB-7078	IC4ER-	METABRIC	T-cells	0.114949113787479
MB-7054	IC10	METABRIC	CAFs	0.127930861415329
MB-7054	IC10	METABRIC	T-cells	0.169946253540197
MB-7038	IC10	METABRIC	CAFs	0.282798447743956
MB-7038	IC10	METABRIC	T-cells	0.0773757793049776
MB-0191	IC10	METABRIC	CAFs	0.202663512387854
MB-0191	IC10	METABRIC	T-cells	0.0826661251057263
MB-0558	IC4ER-	METABRIC	CAFs	0.066784393729086
MB-0558	IC4ER-	METABRIC	T-cells	0.0956983053318546
MB-0284	IC10	METABRIC	CAFs	0.274016286194446
MB-0284	IC10	METABRIC	T-cells	0.111933251146394
MB-0639	IC10	METABRIC	CAFs	0.17402578822051
MB-0639	IC10	METABRIC	T-cells	0.0839634921502856
MB-0318	IC4ER-	METABRIC	CAFs	0.133491107882923
MB-0318	IC4ER-	METABRIC	T-cells	0.0387879544137848
MB-6251	IC10	METABRIC	CAFs	0.183402520577066
MB-6251	IC10	METABRIC	T-cells	0.0703929608936201
MB-0489	IC4ER-	METABRIC	CAFs	0.177801316186481
MB-0489	IC4ER-	METABRIC	T-cells	0.229848459266438
MB-5450	IC10	METABRIC	CAFs	0.175874722455824
MB-5450	IC10	METABRIC	T-cells	0.127095441171644
MB-5155	IC4ER-	METABRIC	CAFs	0.274781187634453
MB-5155	IC4ER-	METABRIC	T-cells	0.0144257502476011
MB-0100	IC4ER-	METABRIC	CAFs	0.207473360977356
MB-0100	IC4ER-	METABRIC	T-cells	0.0986048475223763
